CE_ID,Nature_Of_Establishment,Number_Of_Residents,QID
c51453132800037618,-9,33,q8558100113627119
c75644673939851627,9,31,q7621927629103820
c24361933938133216,3,37,q2530699634788956
c61560868632813788,17,44,q9390318331786803
c66967924546221421,15,35,q2283905105705325
c51509926412745965,8,21,q8891592300504788
c26678196071528605,9,28,q5800677030757760
c21568892115863286,8,40,q2179157387001410
c61576395187937735,12,6,q4916289657177515
c31004680683567911,18,20,q4195086689212340
c39485888438332999,16,39,q6296410365707710
c29872531055370482,4,22,q8775718747700925
c13064069474808297,3,22,q9794575767280372
c63598958975409195,15,49,q6686575042633605
c36492801404911481,11,14,q2993023306602342
c44016941536942888,13,30,q5955313770598123
c78738770912834672,-9,21,q7210599474329331
c82058269266562541,10,6,q8787455073436265
c63863401619404375,1,29,q7055030258964543
c66373944576999476,21,15,q9892630097595149
c19365356346846919,15,31,q5456479331675569
c51600288252346976,-7,43,q8887739589721553
c14310448522398814,8,31,q5063847676770347
c31708911453698582,12,16,q7368055931061938
c32134895347853109,21,25,q9491815335943960
c33522084030639043,11,20,q8348713853183998
c23915804850719725,19,16,q9922359623050309
c12397286869465162,11,44,q3157852719062186
c79334302169894901,8,40,q7355850954822780
c21097110225651525,21,15,q5806147873358185
c51490500892956963,11,7,q8388859640087075
c53045362915068461,6,28,q1712444280380248
c75624703129027109,3,6,q2871484530134849
c20936288195077318,13,7,q8513461146822207
c20943367979215100,14,49,q1770886686595620
c28538337170847871,9,28,q1655011624744288
c78549510038886394,16,30,q7937851355000391
c56654525724336902,4,19,q6013925365427689
c90242355025912801,10,12,q8051230914268210
c10398819067553395,13,20,q8600731634308534
c34713770197796450,-7,34,q8791160157936357
c52109474479491299,18,16,q9553536888929835
c40197132337863157,11,49,q2110205359566983
c94973223720243722,15,43,q8131712411628546
c55366806488950234,17,13,q8525861478913865
c91025098726355722,6,12,q2282809187498522
c66406554553925489,17,42,q2753171909225727
c93370083691498054,-9,43,q4859592940008582
c40253091326277338,18,24,q7305871170570552
c45044732217294264,13,37,q2111499028206537
c20666261243625676,-9,12,q9021488196596315
c18115468846229042,2,39,q8834288897872369
c26510916881824965,13,29,q2068029094221110
c60412551051884565,14,34,q6335071358355450
c89726897541446346,7,9,q2967208934248261
c89105889602416437,9,13,q3391257044208933
c20530913948213646,18,7,q8057419770355821
c64447352358036928,-9,48,q2129997678086914
c16428628088551326,-9,44,q6078807006855271
c36858020407228553,3,10,q3069509603179711
c94796685341817522,16,29,q4575709851726869
c29882958468087042,19,38,q3306687761673616
c73873604722336711,7,22,q1419709060411848
c78128362079901345,7,20,q3548621402445113
c84121471825754408,4,19,q4887648090028375
c35610239924861244,15,46,q8057306823704053
c35809343928199955,21,47,q4736705317322671
c45483428272341537,9,16,q2345061266924984
c43907464875919588,-7,44,q8966130725563853
c53869018138240285,15,12,q8523441496326922
c68392845751004946,14,10,q8302760063574493
c60990433559346811,12,30,q7477446792297258
c56084591433926737,12,14,q2512259271843948
c47987047062436002,2,43,q3780387970807644
c65085682163216115,10,32,q6791414588740588
c87180867881118744,12,31,q6318044033710409
c62680836946497226,13,48,q8227572724454173
c89981963776188595,22,25,q2217571822440822
c22808726799989973,20,32,q2223395473632668
c40217536951193082,12,40,q3846095582013745
c48075938720898914,-9,13,q7557575319683802
c51438708814428658,9,7,q1114934643416024
c37859498464277833,22,35,q2405451728327134
c28006933490372523,8,9,q6460858971812312
c90246343423241218,17,37,q6469501491183788
c47519668094923157,22,32,q7369372703231293
c59813199076707364,2,17,q4699260693480746
c78830119837381449,12,40,q2682553512809405
c86106136665945491,5,46,q7969611499161165
c81686395601212574,22,8,q1799830534066662
c82803398771779367,6,23,q7517684410278244
c54117749938507214,8,8,q7937831739682166
c44778913454459975,-9,13,q4557046949715259
c12015468898591738,8,35,q1230185515968005
c50705023144483862,6,18,q3489724753727625
c89915017218779731,16,13,q5255479363879038
c35083623134007209,-9,13,q9211841200675732
c38309223360293931,11,9,q5414497871375888
c50714373609900105,14,36,q7417433452558665
c54740050914712446,9,6,q5533563394156823
c23618669421822247,11,20,q5783600914527562
c63488056687661223,13,43,q1969057791657106
c44004049870039995,2,18,q3770257207135795
c58751204866904426,-9,49,q6740595801854371
c36120098003250192,22,14,q4266232445944564
c77048898978526266,-7,19,q5126505465431340
c29618341953232999,1,31,q2303708565719092
c77058268317862517,4,10,q1314400121595210
c87714964193507310,4,35,q2599410107686373
c28779670935627254,17,18,q4603759070193827
c60105381519139338,6,48,q9307607028782442
c62199328317993502,22,20,q4900796685368769
c32151196560259760,-9,48,q3429501541824869
c89162483132037477,-9,16,q8858932076277023
c57343377008115885,9,31,q6653698367139373
c26017216345242424,-9,40,q2803845650836466
c48878701428696780,8,31,q6313828588309306
c48426792087660507,18,44,q1375773812192001
c40402063027738958,1,18,q3992918387223356
c16479947544254505,2,7,q3791012356084076
c37462827289388109,17,26,q3493121424160048
c46525944095507891,16,28,q9737319076414078
c33888642243713665,10,36,q9413950054482147
c83512084122767675,8,36,q6652130989493461
c14554774336505445,6,43,q9717986697947712
c34280455805165998,8,33,q1124339575692525
c14817697898770124,18,27,q1545207199928412
c72849275043104479,5,34,q9381330572527415
c70425363293477522,22,15,q7704017947408932
c90745533197492506,-7,8,q4536614679219829
c47408005086859878,5,6,q5657556727036390
c51028938389844496,21,19,q7509797552999089
c58089624778475326,17,23,q7863970563509685
c49628906944459360,12,43,q2204673675710946
c53202722730370641,9,32,q6427633436148295
c50049730887300621,3,47,q1897019190598206
c30749358768164519,13,23,q4325751962281914
c41598650024969645,21,14,q4046768819157729
c16790604372669112,14,16,q3142418641481391
c76889262756235478,16,31,q3090761707111715
c68614024037223121,8,44,q7685253770233658
c39780295549864785,9,20,q4160379268615850
c11510821526543014,19,31,q7316102718210955
c24470642977570402,21,19,q4154018497297672
c91314408428384522,6,42,q6388183582771569
c45378007114738353,17,13,q6100462168286832
c93232449803263398,5,14,q9721107739364946
c94260694027992491,1,36,q4831515779380223
c98411405790021740,14,38,q2207210009769241
c89188412403627263,2,17,q4233135032857451
c19240856887959106,12,26,q5732544977176597
c11915559134233787,16,32,q6968381118225307
c12607281571857931,13,36,q5325453038776561
c71501133702699377,21,28,q7641944480313521
c95772248003850339,22,21,q7395650286269159
c39292366819811949,-7,29,q2679109077354393
c62901947138249741,9,16,q1238908871685053
c93616450265776830,21,28,q6819355376498351
c41032610908975886,21,27,q2683358854700168
c29017573404815668,8,14,q3847360990127911
c73799228855882980,20,13,q2429491285981755
c94363857207079272,21,15,q7135792354456479
c25121456286058943,3,16,q3144328286535319
c59778426676436029,3,28,q1106616571381983
c95892860199616972,21,38,q8407424980853494
c24238132083057611,3,6,q4726695401224616
c98850774308401476,16,46,q2471893586992389
c38416871713216822,20,40,q9298006302379216
c98677107127213785,16,11,q3300361852389793
c49877562884217506,16,25,q8164363599384874
c85959501806975839,8,48,q2768176957720455
c18463060766998986,16,26,q8847920087912570
c56561328189947134,16,19,q3113081969135448
c90865881308499753,-9,18,q8316179424973624
c53432043409054232,17,29,q4638972593513937
c77024794066454366,7,23,q1216916249264764
c79015812957928755,19,26,q1911069045671344
c84860924642437977,8,46,q5367567343822552
c14844035601911265,10,42,q7151471570914055
c20494454380905623,16,48,q2178455260574390
c93591051922216310,8,29,q1548946867207834
c90628057970395027,10,20,q7342565100041968
c15079516855387079,19,22,q4735185326905755
c81114941116580888,12,31,q5437368432031531
c89422776166830160,18,47,q9219743314649997
c23490048477981055,19,40,q5000569515600765
c10261442105381933,-9,25,q5528308411568095
c28419035758600123,17,18,q3647601426162202
c57003046940522013,15,45,q2001875622058534
c77909465573258446,12,49,q4088307576495976
c71102493015846784,4,23,q2060144395279251
c29075160923395778,-7,11,q2791785177396405
c44614714029018905,20,18,q2234173506866019
c76343434971457394,20,15,q1560943440858471
c24048428943921009,8,9,q2394772429348327
c91289276614514005,11,26,q3400495397484283
c79403322123163538,8,8,q6281163938295779
c57733037681994159,20,19,q6294041468600677
c23870364181516059,16,20,q8291403925438816
c86019146010593384,12,15,q9297640675195947
c15960765182626219,2,19,q7439333411926515
c26561970502288063,22,24,q3526740724912979
c74020953060974605,11,27,q3718539586818354
c34652037814570089,10,15,q9701456598688401
c60705891818355327,9,37,q1427580144248863
c77095055707336964,21,37,q6033948575855862
c30372990349717930,19,39,q1198637044813188
c31808583533089876,19,31,q6185594737684712
c26880740622981872,14,11,q4726370863139358
c61559747651255308,10,23,q3909504859148353
c93268082224137897,18,31,q1738263910645119
c16442531592798512,5,29,q7855969877308537
c17396601363886140,20,49,q1287547988009973
c64168128656107387,14,7,q6111266275917725
c93848548270595092,4,13,q9849428035823514
c12257359668783665,12,26,q3008684801581415
c14863669097572529,17,17,q2945635333132813
c77920012559320938,15,14,q2545736225566319
c60743545955154926,17,33,q5042126069868548
c89052015920672734,11,41,q7773823147791803
c18319371389441955,5,22,q3077010499474221
c45022315182394327,4,27,q7402298073686017
c36555668083596364,10,19,q4976189016810447
c59453453477357650,22,20,q7166710643579247
c88594140585709894,15,40,q9794723732859222
c86042454961030515,9,14,q4088620003042854
c59932763379589302,11,34,q9518932526591725
c38534333312185028,-9,33,q7981050498593477
c70595897118594876,5,42,q8142079554265784
c14023683697039322,16,37,q2053580257344660
c33326896096910317,13,38,q9650423576795373
c60588878133936526,17,29,q1208456931791853
c95482885576995357,22,37,q7106176876651202
c65952370700959804,12,19,q1930852072140798
c40680241737722715,17,23,q5789473975085999
c87793546252926583,7,39,q5813427193936883
c17062632176681035,16,41,q4381041976320031
c69768287358091988,7,38,q9385329113103199
c79549687254279190,20,44,q5279747116879386
c86596505620660475,6,42,q5500588029096172
c54949307723298717,6,28,q6346543653417838
c76919463767641335,-9,25,q7367687655987862
c80689234193087616,6,19,q3164175920307835
c65539045839719392,20,18,q9886123203465142
c44586988594031958,13,6,q9783394992721166
c67217064333490835,22,32,q7343990105291297
c14059719293400714,8,36,q8410717194988874
c69803114291088087,21,13,q6633392536186494
c61392734229566124,22,9,q7992436679167190
c64353556676567286,3,20,q1872286467916412
c88026006067089266,10,45,q1453541290809923
c49718154988241501,2,23,q6377429362439137
c17480213143155453,9,18,q7533513564078427
c33976692000830825,22,37,q8928672349422188
c17871502396691128,-9,47,q5303260592462974
c94787038537671205,12,38,q3052928366928509
c26783812911841194,18,11,q5267120835856741
c40581380624123817,20,8,q6451274749059994
c29401153241714436,20,23,q2077580234675760
c42635329413120618,17,47,q2904392628978444
c16653452778297821,2,35,q4746051533296179
c27577079745069544,5,37,q1022655444493103
c52806582537344967,14,11,q7422728018920549
c99836508196733979,15,40,q5743574810683388
c13219603990742263,3,20,q8008849685503127
c19162728457001653,4,11,q3753640689838207
c72474876248476038,2,27,q6867113495922457
c85047547364101287,1,33,q3218718023168838
c98787679244922269,21,8,q5527632159619679
c17071534103281704,16,33,q4442843953159361
c99030093952581270,1,20,q2708574025386863
c54248845538180485,9,14,q2663649822116164
c91473584236131831,14,26,q6175861016081783
c53911704706693010,17,30,q4270090137377236
c45924840598897531,-9,14,q2406705737122677
c25233056402435671,14,13,q7368822613223692
c49262462599817836,13,9,q8246005465142880
c25248183610193047,11,22,q3112137685965564
c14037953356821968,20,36,q8416108674138212
c90712883548426836,11,16,q6847004841692825
c40712708995928668,1,47,q3583160066365909
c58890032940026578,6,37,q3748915515494447
c74400053593093124,2,13,q8543040757618119
c16141071170553436,16,7,q1140689634259560
c66066788172114150,15,46,q7657648488972650
c93505455600197813,20,33,q1875409524123425
c64100531771536575,1,10,q5206135649218518
c43112308135482447,12,6,q3015133269712630
c42529891939525173,9,10,q1621970760467496
c81235934657623967,5,21,q6840253348702037
c49441226780370882,4,28,q4963043683559566
c97053319944092053,14,32,q2617813297596237
c29380957760657229,17,10,q1916445477747019
c51225519599445231,9,33,q6038035051554784
c62073232075102432,19,45,q1575807349905431
c64933488645571911,3,20,q3936285991345608
c60251390316568544,8,26,q5872404397060473
c19041068532942922,14,48,q3371876816914678
c69846086651698873,19,25,q4945499607290639
c58053387181330656,3,14,q9028382892940274
c72037324875546217,9,34,q8449237732234242
c27148625783091280,8,6,q6521141949119921
c45572791763058919,9,46,q4078642729846070
c27882553376300017,4,39,q2403782292730810
c36079138848010407,1,29,q3183133992117355
c97801546581331139,3,23,q7326124092583784
c79645139394781605,-7,23,q7278373169281400
c11384756143016219,11,13,q2005856496666532
c60695474891433679,7,15,q5126663508310308
c34115998363403598,9,32,q5120876284698200
c94081204373721883,1,46,q2527705218164893
c90180485450045966,11,42,q6197486439259708
c21449150718470460,6,49,q6538229343627921
c40032042361221581,21,6,q6578793776169117
c17917653211844646,-7,38,q8002177835807488
c80893420385533914,3,33,q3021428321211843
c70018024257187802,11,10,q1642174846287100
c53341548608287331,4,10,q7831865268895222
c51791349814248765,19,45,q4756498851005272
c57344763404290843,10,11,q3759014300506882
c13883623137095290,13,16,q6463753590579915
c32816655952011656,18,12,q9965234628112627
c39706579194420260,18,22,q3611470252882609
c46015497466628536,7,31,q7827170977996132
c37807959438422374,7,41,q5575964031778271
c70082300615207540,5,48,q5980768182159763
c91147849969530897,21,36,q8077663346145711
c14427639100411520,12,15,q8195108685269648
c48101672952361056,11,40,q8884817451946183
c98253797500408630,10,45,q6359797539533054
c89393444587788172,4,26,q5414268681503828
c22441145194994725,15,34,q3271521976383683
c58683871574837340,5,23,q1547209615692672
c28537259391972157,3,38,q9892930140211708
c89468363463727851,3,44,q4404238631514940
c98784285472081141,6,13,q5936011148372137
c43968082545672541,20,34,q7481770555037254
c30191132305002687,20,34,q7092814975888571
c29643474652869268,14,16,q3022824160044122
c21408803910544274,10,39,q1254963525573931
c93666184282331514,8,6,q1963289663126841
c83225842963876823,17,28,q3283759819524370
c87180906402610074,16,25,q7363157912535060
c16840009261225547,12,48,q5537998887383013
c88650300982467248,5,7,q4100335268718808
c75074965801450272,5,34,q5170666271451665
c89188655171235466,17,43,q9186154593462670
c82582427113000829,13,41,q1717481002626529
c98934974910015414,15,38,q8082657433255830
c27921213618467691,4,18,q4744148408401355
c33812090138655482,7,29,q5386605748374405
c17457735184079655,1,12,q8307242374047594
c34807591561562981,1,28,q7157864021232796
c67433344029925270,20,30,q4249425818345123
c59640830672696217,7,35,q4493197923636013
c87071903732730973,11,41,q2340900470074874
c81754352675188125,11,47,q3408926195374941
c54998630152597598,20,45,q7852547026293364
c61446322028286283,18,48,q3686135169686105
c78316230084424907,2,43,q8069031874967194
c29024164613515581,21,49,q6764690321711868
c93831120879389242,12,42,q3586180539832773
c96044633384159774,5,13,q7123402162429626
c92113861767005133,12,48,q3783053610951735
c55396886263972272,20,21,q8753366621260736
c18644669261548483,17,10,q8039927994484673
c58115792353761848,7,44,q2671066936305322
c41058681462261925,13,11,q7371659941768130
c40317515667848226,9,19,q3076891211437988
c36156869363916501,16,14,q3867708817278314
c49959259088479132,15,9,q9913286157471811
c96790279836988202,18,48,q2156865075964139
c25867069926770737,3,25,q1937405201410259
c85827103001720077,9,33,q7512209479961675
c47298801619481710,-9,33,q8620511908371001
