Accomodation_Type,Any_Relationships_CCS,From_Dummy,Household_ID,Number_Of_Usual_Residents,Ownership_Type,QID
3,,0,h54577884282215381,1,5,q6022823774381809
7,,0,h86380040188487631,3,5,q5583767228068926
3,,0,h53502808758201463,3,4,q9080183782286610
3,,0,h81858004464223470,2,3,q6688592148236330
-7,,0,h35144425792828970,1,3,q3714998702814997
3,,0,h96513966072426616,1,4,q4463496015161828
1,,0,h30992501411620725,1,1,q8046388107758535
7,,0,h88837104478398118,2,3,q1540957335494064
1,,0,h37879114979319985,2,-9,q4149653289313944
6,,0,h40041425478346673,2,3,q2644135914217365
1,,0,h96659239976979974,2,5,q8836429127973084
1,,0,h44491275458169088,4,5,q3666769787539964
4,,0,h23720129391661191,3,3,q3790053110682697
6,,0,h67623169249150828,5,3,q9572916904735061
2,,0,h56038954508287103,3,5,q9703351225724337
5,,0,h92005471898954137,5,1,q7124950606195324
-9,,0,h90597088317913146,2,-7,q9252883530727326
6,,0,h25811903969158520,1,1,q6501858769255134
3,,0,h18079035155137952,2,4,q5745390786492399
5,,0,h73382099153984337,1,-9,q7449771428132832
-3,,0,h36436342954582077,1,2,q1576134011209517
7,,0,h58990762998981612,4,-9,q5984356733766109
5,,0,h31579806554443254,1,1,q9083364356092348
7,,0,h16758366303350807,2,-7,q4275894442218671
-3,,0,h74545538835096299,2,2,q3285330387593872
3,,0,h32987161401317436,3,4,q5673947694103397
6,,0,h83759979909390448,2,4,q9710058254244721
4,,0,h62795360919563224,1,1,q5879571190337465
1,,0,h85105171596951719,3,5,q1221845393801453
1,,0,h73488802917243811,1,-7,q3650379718460313
1,,0,h77527170682655318,5,1,q8406390793350787
1,,0,h58476765389903381,3,3,q6417961427371791
3,,0,h33586122290679759,1,3,q9382093231108747
6,,0,h32184725138964497,2,2,q5068877241908508
3,,0,h47929611930674011,2,5,q2075333280742347
3,,0,h85097115706817413,2,1,q5229346270023080
-9,,0,h56237605667556465,1,-7,q6292663164369837
6,,0,h48648122878386760,2,2,q1190252102398467
-3,,0,h81933901615537220,2,5,q4718771926702006
6,,0,h24127653216022382,2,3,q4489678999339169
7,,0,h91043109429995684,5,4,q6184374784794265
-3,,0,h50084568963528392,1,-7,q5419419752923305
4,,0,h61794261071132787,5,3,q8932236508164546
5,,0,h27657796300234633,1,5,q9219177262045914
4,,0,h23642014597675571,3,3,q6658121057518968
2,,0,h51217025255306149,2,-9,q5477135358400493
6,,0,h98906526837839550,2,1,q1300832851834764
3,,0,h73428526281136056,3,-7,q7119628808374080
-3,,0,h38077782540627921,5,2,q1414615981336793
-3,,0,h51915190594367750,2,3,q8789708955578093
4,,0,h21997112676607292,1,3,q7382803498003478
-7,,0,h29000065159770621,2,2,q6169868980987613
1,,0,h26879863743193729,2,1,q6324513653414521
-7,,0,h24671350809157020,2,1,q2964021016358379
1,,0,h44184670022896574,2,-7,q8350425705356857
-9,,0,h64882049163248745,2,-9,q6196051151493965
1,,0,h76142290432953018,2,-9,q6027995256275868
1,,0,h93873062280501357,4,2,q8894645216429710
4,,0,h35363253202040937,1,3,q2809374983210469
5,,0,h83771992566162261,3,-9,q6653046349555275
2,,0,h64285075754279344,2,-7,q5832014298457979
3,,0,h22940951853226961,5,5,q7756791253977422
2,,0,h22296963971973590,4,4,q6406986773840931
-7,,0,h32067459748462947,2,1,q1971863236777222
-7,,0,h98378577939566493,1,3,q2042456172767948
-3,,0,h18953384127544267,5,4,q1631921615223316
-7,,0,h23894271717625517,3,5,q3733819852747044
-9,,0,h57268281527975911,2,-9,q7080973641696004
-3,,0,h92804768589351321,2,-9,q5271142950218684
3,,0,h85975717909746836,4,5,q7966352316433477
-3,,0,h96912485319278616,1,5,q3552334070019199
7,,0,h47308861272515517,1,3,q7500235787594298
5,,0,h99020310338397990,2,4,q1873252642726392
2,,0,h64449455539820429,1,-9,q9305479384534242
-7,,0,h85522364522526290,2,-9,q4270830204885648
-9,,0,h58802086447487840,5,1,q5872471002093972
1,,0,h37170374110822936,1,4,q7276540976413580
-9,,0,h64561338418124895,1,5,q3910426965976395
7,,0,h55901816177390500,2,3,q2874222283430136
4,,0,h67304838409222301,2,3,q3999241356670179
6,,0,h82532523963668637,2,2,q8365479265089638
4,,0,h33132390042406360,2,3,q3926800954949720
4,,0,h64713719091457961,4,-9,q7149715481100663
-9,,0,h30043778574745047,5,3,q2457687095377165
-3,,0,h28439181302659195,2,-7,q7260289158118805
7,,0,h36442754642340930,4,1,q6852312655328444
5,,0,h80218364487617716,1,5,q7110718469809839
-9,,0,h57701529597305974,2,3,q4644203388464482
1,,0,h98793155927892563,2,5,q4864458730452074
5,,0,h98269827962637717,2,4,q7528290710541555
-7,,0,h13145794690116432,1,-7,q7917632828390240
-3,,0,h47647786800607824,2,-7,q4138926680441194
2,,0,h73866493443414369,4,2,q6191852763862966
-9,,0,h50410092661213238,3,4,q4405131000352252
1,,0,h21110296506689694,2,4,q3960945320054429
-9,,0,h40079152296157590,1,4,q1597763965599170
-7,,0,h39672832942998205,2,5,q8486096957171896
-3,,0,h54216291545906995,2,5,q7160844322905788
6,,0,h72805702224895766,2,5,q9672282661389921
7,,0,h37835953577226807,1,5,q4916542918276843
-7,,0,h28478821161387619,2,-7,q4090884487231811
7,,0,h99948892597357799,1,2,q6783722241518936
-3,,0,h94537795328320905,5,2,q6280001208823972
3,,0,h16467577002408133,2,3,q8230944097667667
7,,0,h12528055390864499,1,3,q9317283431378058
1,,0,h43385040425178303,3,1,q4513970023559939
1,,0,h11549747174303599,4,-7,q7006276993970060
5,,0,h49002995706185089,1,2,q3585260350985603
1,,0,h97374017287013498,3,-7,q5775552415231184
-9,,0,h94139457432751723,4,-7,q2355277912925933
7,,0,h63923163976815916,2,3,q6683279306206365
2,,0,h54509253010180492,2,2,q8301969838714029
-9,,0,h74633720894874568,5,2,q3413855406091351
2,,0,h67223046155440922,1,3,q2868305031804256
7,,0,h81983129993515054,4,-9,q1265915111465786
3,,0,h79421567432228510,2,3,q4620125129330552
4,,0,h67421030436774020,2,-7,q9451152003142123
7,,0,h35812759105936725,3,4,q5196861222377378
3,,0,h53570641166886948,2,3,q7224021862678215
5,,0,h78814312200000111,2,-9,q3719552043619551
6,,0,h95292140201414744,2,4,q2392276318811138
-9,,0,h70895103721904339,5,2,q5086371386475412
4,,0,h53866081260580678,1,3,q3180875603042680
4,,0,h47297210088804487,1,2,q2171494448061914
4,,0,h91163763257240105,5,4,q6310936435201513
-7,,0,h41144125576698520,2,1,q2878753298237995
-7,,0,h40098352684710385,2,1,q7138669458998985
7,,0,h77959973918263599,2,4,q5547329768534771
2,,0,h96689477283947718,2,2,q3907946832376088
1,,0,h61648793544271144,1,3,q9841064427150114
1,,0,h53296452318428354,5,4,q4580717415644832
4,,0,h97820005109413506,2,5,q9030129371411445
-9,,0,h69179770328617876,2,-7,q9366391539584609
4,,0,h66226118137148690,4,-9,q6885060617418297
3,,0,h19234162890090458,3,-9,q9738098276311738
-3,,0,h16810684174779140,2,-9,q4137894513577423
-9,,0,h90606843087827206,3,-7,q5939605054604587
7,,0,h55040271895530421,2,1,q5311082555484318
1,,0,h13075215292191435,2,3,q1559218346032303
5,,0,h74936066898909400,1,2,q9585553070936824
7,,0,h31424106726408305,2,1,q2587547595836967
-9,,0,h72641825592355592,4,5,q1121492883348455
5,,0,h68846625708009763,2,-7,q1652584334369998
-9,,0,h79291003601549295,2,5,q3216138566758456
1,,0,h24105377616476208,2,-9,q1748723407528529
3,,0,h87059748592893021,2,-7,q9985447598535943
6,,0,h39629407930834396,1,-7,q2504779934780613
-9,,0,h59386355053285546,5,-7,q5295613260160283
-7,,0,h54326714526756670,2,4,q9023609639672906
2,,0,h34250212941604376,2,1,q8122137819005364
7,,0,h80926869265119339,2,3,q5714039385479956
-9,,0,h51053079826723915,1,4,q7892465585828711
6,,0,h82590420072180402,2,-7,q8815183047098580
-3,,0,h21386517431634169,2,3,q2537236137441460
-9,,0,h82015523135265541,4,2,q6781237499677727
5,,0,h56724901906099815,1,2,q5410294964470886
3,,0,h58754293542423077,2,4,q6520599692495108
7,,0,h18961354369622849,2,-9,q8125480294543091
-3,,0,h71057981325421286,1,1,q8841295298747785
-7,,0,h19069118542051577,2,4,q4510216901593285
7,,0,h56552737940702647,1,-9,q4916801373926043
6,,0,h78611777008930170,2,4,q5185687124566959
6,,0,h22625399745300223,2,5,q5712062490302128
7,,0,h15178885687283840,4,4,q7135495386916902
-7,,0,h76717916925769439,1,2,q5251812213157061
4,,0,h78098774606409648,2,-9,q7572972932532837
1,,0,h74850457687669476,2,1,q5855769080160788
7,,0,h57293842527661562,2,3,q2904049842175708
3,,0,h59584143743829948,2,2,q8810837630697488
7,,0,h93200773095604561,2,4,q8762467559276251
7,,0,h98522212958546392,1,4,q5527752339714125
2,,0,h60930091462174609,3,5,q5905108206002892
7,,0,h81708155170011647,1,-9,q7642716243861229
-9,,0,h87125415423171386,1,5,q5105458731734548
4,,0,h83833711314878499,1,3,q4603797949554769
-3,,0,h31627342553910716,2,-7,q6745604156319882
-7,,0,h88143001692547131,1,4,q6846024078685777
-7,,0,h18122387270874948,4,-7,q1651367383328091
6,,0,h75137829161290387,2,4,q5425075302101578
1,,0,h99197935134244874,4,5,q4220190288366775
3,,0,h23630239066989663,2,1,q6256501640528182
4,,0,h44742632455274621,4,1,q6962222966688491
-9,,0,h88356921379351591,2,3,q6513489228646012
5,,0,h65940927994140400,1,3,q9733773479498396
7,,0,h46766294489391458,2,1,q8959320430368396
1,,0,h34054916168886286,4,3,q8537564116195566
7,,0,h30415867473608848,4,2,q5406995830832260
6,,0,h42894137804296853,4,4,q9159208057039636
6,,0,h41997220379091559,2,3,q6633996129263624
-9,,0,h87416374513760475,2,3,q1198972642067161
-9,,0,h77896807985217950,1,1,q1982634169578015
5,,0,h88188474921322778,2,2,q1942826351550719
7,,0,h31547478053840559,2,5,q7742139435065466
1,,0,h42141300709746346,2,-7,q3574832679870335
6,,0,h75560167485398998,2,3,q7483111950230252
-3,,0,h97887024619498232,1,-7,q5893161798428975
4,,0,h71336177070168556,2,4,q2068514031154835
-3,,0,h92841299499660702,2,5,q5386116847867709
-9,,0,h58394717990816076,1,2,q2183567653645362
-7,,0,h38549762901029166,2,3,q7698023996198788
4,,0,h39302919970494096,2,2,q3125044959376082
5,,0,h25665030523569238,2,1,q8460909518121403
7,,0,h88770304839185559,5,3,q9368910292336124
5,,0,h84409882021468735,2,-7,q4047496169416305
7,,0,h19471776191048536,2,2,q4819132650431557
5,,0,h30535807469681548,2,4,q1762337841409908
-3,,0,h16822317284757006,2,5,q6258199772786390
-7,,0,h87272860440130038,2,-7,q9449677307816923
5,,0,h19145741411283445,3,1,q4024793974278677
4,,0,h57305823645082001,1,-9,q8301044232992222
5,,0,h65676389253623671,5,-9,q3773489101380988
3,,0,h61849185013528957,1,5,q8756645472289977
-7,,0,h93253856867931583,2,-7,q5517843345036534
7,,0,h10732450603660961,1,4,q2028550626105442
4,,0,h20340443986419598,1,5,q9200302601011319
-3,,0,h74324356657979493,2,4,q1981742063903561
7,,0,h52475629580867674,2,1,q7046259696106183
2,,0,h19004676549907909,2,-7,q8865388099247185
7,,0,h70745491181615520,1,-7,q5818429478982577
7,,0,h62161215264464359,2,-9,q8854512348381382
2,,0,h21749971441499462,5,4,q7257812085552393
-7,,0,h63611666498157238,1,3,q3128093605485200
2,,0,h69839681622772290,1,-9,q3138896604518621
-3,,0,h54257493650733734,3,-7,q4279338984277458
6,,0,h24385575733182031,1,4,q4174607261629972
5,,0,h45619939043582563,2,5,q2935804216354755
1,,0,h66472156576888785,5,-9,q4891367775125163
6,,0,h59711847712552868,1,5,q5233504218406433
-9,,0,h41354034229014999,1,-7,q9929613905865156
2,,0,h55401833548456470,5,3,q9209321279015735
2,,0,h46979293375853611,3,4,q1517784477800537
6,,0,h47664513004636351,2,2,q2632913206430226
7,,0,h57963542338683657,2,5,q4490495667743099
-9,,0,h23967373462553441,4,-7,q5597296002417807
-9,,0,h66086945151840321,2,2,q6461674392506389
-3,,0,h11596863548838006,1,-7,q3423321101257163
5,,0,h81576296418925237,4,4,q9107832567473937
7,,0,h18099556303789745,2,5,q2418017597239835
-7,,0,h83424903827351300,1,-7,q4026802244657721
4,,0,h29629978391837677,4,3,q5575514947533977
5,,0,h21925069590090690,1,3,q3485387779074175
3,,0,h33481847482759735,1,-7,q4695513825801702
4,,0,h41960691549594674,2,3,q3970915005602317
-9,,0,h34605261582916758,2,1,q5750141610724614
4,,0,h90384589798786501,1,1,q6075437665067920
-9,,0,h43965831140202067,2,-9,q4142985384746895
-3,,0,h75468155018727515,2,-7,q1155953951621981
1,,0,h88564157136998450,1,5,q6604728114823731
-9,,0,h19020271010796596,4,3,q7959014063024927
-3,,0,h85772889492451207,4,2,q8973217789253712
7,,0,h60449739896262222,5,2,q1972020671749882
5,,0,h13866318582822790,2,-7,q7514491602552043
7,,0,h99681241484019391,5,5,q4481569627613456
-3,,0,h18161057807647143,2,-9,q4143093352865893
4,,0,h32120867624727605,1,1,q1339507381539069
3,,0,h96104083616682852,3,2,q3975396127089895
7,,0,h90357327482900047,2,4,q6306845540805195
5,,0,h63269814358259473,2,-7,q4218284126838829
3,,0,h59570872700985095,4,-9,q3193918541067792
7,,0,h46885992017276833,2,-7,q9194894224665962
7,,0,h80042148896366914,1,5,q4595361921724881
6,,0,h95490645427310358,2,4,q4912401336658387
5,,0,h84027114839402982,5,5,q1981588753283825
-7,,0,h26323329715744099,5,3,q9329274712748653
4,,0,h84951740987080586,2,-9,q5391508169641873
1,,0,h15126567214836772,2,2,q1233275625758098
3,,0,h92333955011661025,2,2,q9740539317127066
1,,0,h43010894006116447,1,5,q1019883045301906
-3,,0,h31386069396625079,1,1,q7618879204218959
3,,0,h79766771812261998,1,4,q5914986049387248
-3,,0,h65385150515334585,2,4,q1092743813857386
2,,0,h85391314134199569,2,2,q6375251983163290
4,,0,h85076185240982471,1,-7,q2149331048617179
4,,0,h75693979332727709,2,3,q5267088567794258
6,,0,h64286989606295176,5,2,q8658448164549119
-9,,0,h60935527198718123,2,2,q1257081190201320
5,,0,h61273081874866185,4,5,q4375956408016906
-9,,0,h46721521094200503,4,5,q6222099659175348
4,,0,h53919070270950636,2,5,q6331584694811910
-9,,0,h38849106566007181,1,4,q8391564964283925
1,,0,h60934527872400356,1,3,q9003080767025480
4,,0,h38757698591638065,3,2,q8177983747590518
2,,0,h31918808076472236,2,-7,q9734435523091984
7,,0,h71847929008630333,2,1,q4284437930676948
5,,0,h87422462054064287,2,5,q5589751753897005
7,,0,h34412505883357822,1,-9,q5938220784577202
-7,,0,h24527024391241729,1,3,q3523553007738840
1,,0,h75781192090821882,2,5,q1510676489723280
4,,0,h50918191124069357,2,3,q4195518727728935
-7,,0,h58584544525151374,2,-7,q9146125298536327
2,,0,h51636514748545192,2,1,q9633055333684186
6,,0,h92939084271713157,3,5,q6691339012710939
-3,,0,h79952792173316988,1,-9,q3533528900552437
4,,0,h10507257070139344,2,-9,q8576496511217564
1,,0,h88364625689193417,2,4,q5324177099827804
5,,0,h93770656179534018,2,4,q2252355519895905
3,,0,h99710867242473138,1,5,q1477525657313807
6,,0,h21245178124550528,2,-7,q4594262871930760
6,,0,h35396841364124206,3,-7,q8361073624992313
4,,0,h20514073852233951,3,2,q7282484604172835
7,,0,h51621168460018628,5,-9,q8153722581476007
2,,0,h29410019021311073,4,-9,q9573474493407767
1,,0,h89903969962238168,1,4,q7725359113871317
3,,0,h58440865480008349,2,-7,q7508436525178499
5,,0,h45232505555869814,2,2,q7513415975131698
2,,0,h23970871467378019,2,5,q1946535197923858
3,,0,h14825568509685941,2,-7,q6930030674662850
7,,0,h43012451680137336,2,5,q5747084239018170
-7,,0,h98443377905374061,2,5,q9662708253428510
5,,0,h83865821388695885,5,2,q8009134290404914
-7,,0,h95625427154726688,3,4,q4646171699675592
5,,0,h61553465205156482,2,-7,q5706747455937146
5,,0,h79219106580825608,1,1,q1906738241949193
1,,0,h93329816565032039,2,4,q4382038119480931
4,,0,h43554578918761010,2,-7,q4672959128928445
-9,,0,h53538856252362221,2,3,q3190772283136726
6,,0,h85797448574112925,2,-7,q4907068832657482
-7,,0,h76442136268411556,2,-7,q6944261758223332
7,,0,h37505358176753800,5,2,q4765344790260732
4,,0,h27283575262790383,2,-9,q2297290398727271
6,,0,h37796419421766764,1,2,q3225896526439240
2,,0,h85096734910858198,1,4,q9004736461747394
-3,,0,h58745495370354151,5,5,q1949719733991399
2,,0,h27678333378711094,3,-9,q2039132853301921
5,,0,h13374263756442854,2,3,q7160010796557718
7,,0,h53192010650225583,2,1,q8184070839683303
-3,,0,h22578153155149629,1,3,q6272115076526477
2,,0,h51994416034409767,1,2,q8191773389475078
4,,0,h97054988068680968,1,-7,q7620698733185114
5,,0,h64550521418599284,2,-7,q7859302812081932
3,,0,h43316894392943442,2,4,q1748380095297836
2,,0,h50099075686652287,2,3,q4921168453169461
4,,0,h45854507899495618,2,3,q1962825640048039
2,,0,h28009024212016566,5,1,q4850614928951731
-3,,0,h79795174560812378,5,3,q6447449293116867
6,,0,h51113202725378863,2,-7,q1020732470870099
1,,0,h24579329161182606,2,3,q6671496860622465
-3,,0,h16485401065822217,2,1,q8243176490206092
-3,,0,h38912986180473847,5,4,q2011980447547039
6,,0,h83548039214130788,1,3,q1047163166380331
3,,0,h64870328900657734,2,4,q9116770897887173
1,,0,h64230637115739027,2,3,q3543386773533663
6,,0,h31963534748052514,1,2,q1067424634419321
3,,0,h50868585962694826,1,2,q1746732198011438
-3,,0,h25825620360808614,1,1,q3512984759830394
-7,,0,h67390438913185032,2,-7,q2168579838312485
7,,0,h43786276949847416,2,3,q9688766278480147
5,,0,h38026568001576684,2,3,q3425897147871411
5,,0,h15846890270133188,3,-9,q8749954109973910
6,,0,h82625471240703324,1,4,q1410000777338410
7,,0,h90147758337361670,5,2,q4956882950531208
3,,0,h94920420287801285,2,3,q1405706877742267
-9,,0,h66479796536535468,2,3,q4227016810902170
3,,0,h16928717503092525,1,4,q6602600202560826
-7,,0,h72784907980231283,1,1,q1459471000430610
2,,0,h26935185101244048,1,-7,q4229451539885629
-9,,0,h26299492472632966,2,1,q7133726661332196
-7,,0,h97171878329123224,1,2,q8036313146506049
3,,0,h51366475632720912,2,-9,q2110813881976248
7,,0,h75261295172384283,1,2,q5801468426593661
6,,0,h67569397861973456,5,3,q9802073034728962
3,,0,h24078620684916405,2,4,q2614913564455812
3,,0,h69896076817321819,3,-7,q5440826097840681
2,,0,h29795430702108402,2,3,q5831011129949353
2,,0,h69593625908450326,1,2,q2981033064250835
6,,0,h72697531460966412,1,5,q1998672603477207
7,,0,h74281131581720368,2,5,q6384824179797947
-9,,0,h53545779107596576,2,-7,q8344419992471095
-7,,0,h52649265171715611,2,3,q5962287367841861
6,,0,h67828054239190267,2,2,q1302866584296212
4,,0,h18886427564309550,1,1,q8596033538816357
-9,,0,h69671384489037248,2,1,q3227360267760108
7,,0,h13463324797715651,1,1,q3537656510845564
5,,0,h27036087836619851,2,1,q5788481016887589
-7,,0,h80078093045570410,1,4,q9912086962636495
-9,,0,h62064180274521134,3,5,q1586079860899050
4,,0,h16029371764644897,1,-7,q5105940114909244
5,,0,h26327722971142334,3,-7,q4734891561918144
-9,,0,h33901199105423249,2,-7,q7175681020428902
-7,,0,h72617349268015254,3,-9,q5412527179618090
1,,0,h14558144391186415,2,-7,q7266554491638995
-3,,0,h57625458308361832,2,1,q4427604633608562
6,,0,h86738313091679737,2,5,q2731625367368899
3,,0,h37216805025145241,2,5,q4089393800518812
-3,,0,h39290129285197494,2,-7,q9806634266911558
-3,,0,h44502926884152556,4,-7,q7151599953127597
6,,0,h44962064616175526,1,2,q5278802464598594
-9,,0,h59138691150610734,5,-7,q1006541641588534
4,,0,h73870227775529349,5,2,q6454762059499640
-9,,0,h77669974104816264,2,1,q5832016107885538
4,,0,h99383000046319992,3,1,q9320673350313789
-3,,0,h67317216103195663,4,5,q5483523280209161
1,,0,h43126270968967958,2,2,q4095172948953000
7,,0,h17039919629724891,1,2,q5442512181522861
4,,0,h44237886222468458,2,5,q3617906539139895
2,,0,h89701090432533688,2,5,q8921923977784176
5,,0,h82987013448322532,2,-9,q3213467350644953
-7,,0,h55370687382381212,2,-7,q6028508226398392
3,,0,h32225518969872323,4,3,q4911135627009393
-7,,0,h76504736454746576,2,4,q4529935398354247
2,,0,h98981512807304195,3,3,q2880908721869902
2,,0,h84952672437301489,5,-7,q4852225734063664
1,,0,h50545484535240600,4,-7,q3879279045068158
-3,,0,h22917971695610064,2,-9,q2909073063964036
-7,,0,h79041475374124201,2,2,q4356668657634219
7,,0,h43770701835605153,2,-7,q9004937111827749
2,,0,h85063436139132276,1,3,q4046224385930226
4,,0,h48249301085761592,1,-9,q5410305467592004
4,,0,h72526930404395698,1,-9,q8289788664204178
5,,0,h45797820380947531,2,3,q6367557902089700
7,,0,h47097858303760584,5,4,q6578701296328373
6,,0,h36529134746607224,2,-9,q4238704838883148
-3,,0,h22233070859302904,2,4,q7834633485149726
1,,0,h55106417546527602,1,2,q5813275712671591
2,,0,h35159099336206675,2,4,q1696055522240060
-7,,0,h44399435008222720,3,-9,q2230763505936149
3,,0,h94655128582902269,2,1,q8179045406249105
-3,,0,h44241814291615552,2,2,q7993008840824948
5,,0,h63969687244576598,2,1,q7645361263946233
7,,0,h80569389102233058,5,2,q8729096243672536
7,,0,h62929926250776151,1,-7,q7849852466772292
3,,0,h39602090518497982,2,-7,q4011182930819383
1,,0,h52747631669182888,5,2,q6206006487310352
4,,0,h90279684175676017,2,3,q7406055033399713
2,,0,h47316080997565125,2,4,q6380527953555919
6,,0,h65941703871201498,3,3,q3292220865559683
-3,,0,h31569181970672837,1,1,q7484311292540578
-9,,0,h40651645761775332,2,2,q4810233476870949
2,,0,h36968333615529411,2,3,q6648878594938690
4,,0,h41949701133601192,2,-7,q6558512816383150
-9,,0,h31146544117751460,1,-9,q8881919823762758
-9,,0,h18679037805027660,4,5,q1156161740949184
-7,,0,h89397754831665872,2,-7,q3437622077245611
7,,0,h57228048415559748,1,2,q6096704867712963
3,,0,h74901914640144160,3,1,q3330610209377902
-7,,0,h97119596147309570,1,2,q1867684565472471
-9,,0,h27913781157225326,3,1,q7551355458902329
-3,,0,h76272293209507233,2,4,q5011708163178244
5,,0,h74630587946852445,2,5,q4394576459625020
-7,,0,h89443090997908853,2,5,q7921437815817314
-3,,0,h85449568096224017,1,-7,q3580599938629024
-9,,0,h17926509556761569,2,-7,q3045867497626631
5,,0,h12932818223497893,2,4,q8296646024762492
4,,0,h35597698272128445,5,-9,q7077033105231113
-3,,0,h17225648843998538,1,-7,q1803671483424369
-3,,0,h88751079451131465,2,2,q8384697034703752
5,,0,h12449378922690615,1,-7,q8117539730099460
-3,,0,h47961139137323912,1,2,q1031783059439812
5,,0,h70135322765164033,2,1,q2490248604789346
2,,0,h26679148780065250,2,-7,q1939123112274427
5,,0,h79868725014332353,1,1,q4886073226991643
6,,0,h76155568734079992,5,1,q4134629944765090
7,,0,h97923462200669213,2,-7,q6419495358792079
2,,0,h38434536157331414,4,5,q4071084810643133
4,,0,h18689572912052296,2,2,q2300302655806106
7,,0,h19374097152680240,2,-9,q7633982519998258
4,,0,h50411064354034311,1,5,q8777120171837806
6,,0,h55282773511987440,1,3,q2467956604793414
-9,,0,h65172001961972484,5,5,q2479392680900629
2,,0,h55606621932188223,4,4,q9788855544338244
7,,0,h95698698469601271,5,5,q1167269536800507
-9,,0,h53520910271092035,3,4,q4429970688640960
1,,0,h63542176573777556,3,3,q7364342586829599
-9,,0,h11138858191032472,1,1,q1155156310210503
-3,,0,h10039031941056173,4,3,q1841004658386268
5,,0,h17530105540727507,1,5,q4598752666356856
-7,,0,h81023721279044890,3,4,q5429929059034551
4,,0,h87089881628908348,2,4,q3200358684816698
-7,,0,h50262329436664180,1,3,q1670215273751895
-7,,0,h47937437046763393,2,4,q4788581792933025
5,,0,h40282320054598631,1,2,q6663489861416870
2,,0,h50566343119039155,1,4,q5655569213559104
-7,,0,h43884609918729212,2,4,q1033076187437415
5,,0,h76304203135076980,2,-9,q1629546726564537
-3,,0,h64773192520282067,4,-9,q5447163728068021
1,,0,h27165188109807913,2,-9,q7150918601873133
7,,0,h93063489487451936,2,5,q9195558221964542
7,,0,h70865574616631361,2,5,q4801554767845659
1,,0,h27883431240220901,4,2,q9610426059894321
4,,0,h49397220736909373,1,4,q6866843448313980
6,,0,h22969834307668189,2,1,q6194521599794871
5,,0,h20354056786141920,2,4,q2972687777837172
6,,0,h54777289419149610,4,-7,q6884097520191197
5,,0,h62430628874869006,4,2,q5305340837295209
