UNIQUE_ID,cluster_number,Dataset
c1077824950035626669,171,CCS
c8693698826559676589,172,CEN
c8944609566684406039,172,CCS
c5158682093048285092,173,CEN
c3283875561053605984,173,CCS
c2366551158780348551,174,CCS
c2473857143998473662,174,CEN
c8026178693491088649,175,CEN
c4261943442543922147,175,CCS
c7412970877852794572,176,CCS
c9079650995462374485,176,CEN
c2365417094890293403,177,CCS
c1038017721083683335,177,CEN
c3653024717045594600,178,CEN
c3719144551271588802,178,CCS
c3704325932141162194,179,CEN
c1059591682552291423,179,CCS
c4807686023647356759,180,CEN
c8171911517509863071,180,CCS
c6484144242302255699,181,CEN
c5378759963996250806,181,CCS
c1592602513270991015,182,CCS
c3167282008451900712,182,CEN
c6373066479436770428,183,CCS
c8252493262882298451,183,CEN
c7878232744439482755,183,CEN
c1836215809919460698,184,CCS
c6037815195191622328,184,CEN
c3776891334592166807,185,CCS
c2289024428113223591,185,CEN
c4794827204476285153,185,CEN
c3223408479908800643,186,CEN
c8795252651358707452,186,CCS
c5405806923565542505,189,CCS
c5082096119666578444,189,CEN
c6132755111743570904,190,CEN
c4837378791327318726,190,CCS
c4508124151666705903,193,CCS
c4221054885136346450,193,CEN
c1462027790239918281,194,CCS
c8498399285585446122,194,CEN
c4002703954219595485,195,CCS
c9156695258306272814,195,CEN
c5509099424876658942,195,CEN
c2899617797379546372,200,CEN
c3036077171570977413,200,CCS
c3800901505324312538,201,CEN
c4926681142430936008,201,CCS
c6784511992593118363,202,CCS
c3740728910329674217,202,CEN
c1367003240342416614,202,CCS
c6609999607582484341,205,CEN
c1288521619540570510,205,CCS
c5247693679437927032,206,CEN
c6936780666467627487,206,CCS
c8122088966208563918,207,CEN
c2859624058669617836,207,CCS
c1659810864204588134,211,CEN
c3827467401731987884,211,CCS
c5995984788191896662,212,CCS
c6660429650604508904,212,CEN
c6575309517568031763,215,CEN
c6397493395389954678,215,CCS
c8430330930447128096,215,CEN
c2254108529469309425,216,CCS
c5986242695270035736,216,CEN
c1490807263018037981,216,CCS
c5871230875846189081,217,CEN
c8632003943681859100,217,CCS
c8692824078554031604,217,CCS
c2119999522716213621,218,CEN
c7329659904747772970,218,CCS
c4572143277689265332,219,CCS
c3403464144164548633,219,CEN
c8464114859304160036,220,CEN
c4350000812942539723,220,CCS
c7084114856428486870,221,CEN
c1628270146281491769,221,CCS
c3295689492824501980,222,CEN
c6537792370318776649,222,CCS
c6360446538680559341,223,CEN
c2814167596306228239,223,CCS
c9066200703083325580,224,CEN
c5078641601719114123,224,CCS
c1724138162999323628,225,CEN
c7179452912185158814,225,CCS
c2936078418217425628,225,CCS
c5120622426929079714,226,CCS
c7522970823891521000,226,CEN
c6549104837552958236,227,CCS
c8920875970125162610,227,CEN
c4447087722057145621,228,CEN
c2726970309995974255,228,CCS
c7884178882950484259,229,CCS
c6441051056604732890,229,CEN
c7285067069278063432,230,CCS
c5956072406198420337,230,CEN
c4202293322591074265,231,CEN
c4797927556781982442,231,CCS
c7407036911077760159,232,CCS
c6367913518397212388,232,CEN
c1094638834454044038,233,CCS
c5947739654371079267,233,CEN
c5686164348402831484,234,CCS
c7622168069203406999,234,CEN
c5219991576928007173,234,CCS
c5030272056455051366,235,CCS
c1484881997951942251,235,CEN
c8779491908841055393,236,CEN
c7657035012638503295,236,CCS
c4374979759553335009,237,CCS
c4661263776172639243,237,CEN
c3539731056392504054,240,CEN
c6502247623928465162,240,CCS
c1433982840131899468,241,CCS
c1363811812904906691,241,CEN
c1222546447119169631,243,CCS
c6088075265015882924,243,CEN
c6889053656907124665,244,CEN
c7415286364852275223,244,CCS
c2124655128474647977,244,CCS
c5221937235544160777,247,CCS
c2813991005187784065,247,CEN
c4469553048322297133,248,CEN
c1650375747177960341,248,CCS
c7957353733414785757,249,CEN
c2698802027401098209,249,CCS
c4355478456644365390,250,CEN
c2428556210537189394,250,CCS
c6697620919428080661,251,CCS
c4764788940645287624,251,CEN
c3315792522289110141,252,CEN
c1431735261374587129,252,CCS
c8601462317459739431,253,CEN
c2569144617976528397,253,CCS
c3080127380676116106,254,CEN
c5038393089659047827,254,CCS
c1580285986798424206,255,CCS
c1979174141172761970,255,CEN
c3048077405646389388,256,CCS
c1880956460891391565,256,CEN
c9060283803222723581,257,CCS
c5496265265749864162,257,CEN
c7669565406063380976,258,CEN
c4779514497069962608,258,CCS
c8898731850720651896,259,CCS
c6324982728124690068,259,CEN
c3048472341968834850,260,CCS
c4793278317621309514,260,CEN
c8240383046070986465,261,CCS
c5064461253889115571,261,CEN
c8646187054658144401,262,CCS
c4002996877321896389,262,CEN
c3521877320069309444,263,CCS
c8251537739426820321,263,CEN
c1617187482363794823,264,CCS
c8400287542267433456,264,CEN
c8786811144876944137,265,CCS
c9136195014569234405,265,CEN
c7548612744217836766,266,CCS
c2862421037049766466,266,CEN
c8556454693595923862,267,CCS
c7180226080505940297,267,CCS
c2258319501924475726,267,CEN
c2849465132451112272,268,CCS
c8486042941999023105,268,CEN
c2564482225547750403,269,CCS
c7578165321542736338,269,CEN
c8211048861291264793,270,CCS
c3488965640557296420,270,CEN
c6277437144998171567,271,CCS
c4890497044374827986,271,CEN
c9598940790875629487,271,CEN
c6753601184524600896,272,CCS
c1127581234313607889,272,CEN
c4551501970214136141,273,CCS
c3622045482158951233,273,CEN
c4221011232320550337,274,CCS
c6467713420253290855,274,CCS
c4425036100697680007,274,CEN
c9233758581119687616,275,CCS
c1398070710016382968,275,CCS
c6520232251726759292,275,CEN
c4936953867998560918,276,CCS
c6315384703304745277,276,CEN
c7122862639510278860,277,CCS
c6782130147675674676,277,CEN
c3263563170967949684,278,CCS
c8620806156730782389,278,CEN
c1254691066300298319,279,CCS
c4350287574179938417,279,CEN
c1063035719904433204,280,CCS
c3987947618462610922,280,CEN
c3381532509535130542,281,CEN
c2683040933935806450,281,CCS
c3660221955349944856,282,CCS
c4735785298145314881,282,CEN
c1503498301034046289,283,CCS
c5032205761952087635,283,CEN
c6193188133190121422,284,CCS
c3567195713384139985,284,CEN
c6021285205061022530,285,CCS
c7136230709667928204,285,CEN
c9193286999472299346,286,CCS
c8182992986930405865,286,CCS
c5840538212423021285,286,CEN
c2072416024949728582,287,CCS
c1640778336761299423,287,CEN
c5244776975484822763,288,CCS
c3630003582018840693,288,CEN
c6234997712166537660,289,CCS
c7904520435317468856,289,CEN
c7149346689177893959,290,CCS
c6779474930780334702,290,CEN
c2413666807613962221,291,CCS
c1724615320390048924,291,CEN
c3880408350485139099,292,CCS
c8432997899311673595,292,CEN
c2521913787788776330,293,CCS
c5441688484832664351,293,CEN
c1051161334374953356,294,CCS
c8327912994327083292,294,CEN
c8302260831797942643,295,CCS
c8664488503259643294,295,CEN
c8101055214510353160,296,CCS
c6001009433966453048,296,CEN
c8604251530852450183,297,CCS
c1308395138975839982,297,CEN
c1320190438700971608,298,CCS
c7146233757909511714,298,CEN
c2648352044373144847,299,CCS
c4782497253848451771,299,CEN
c2770333158562200806,300,CCS
c1867957398083765325,300,CEN
c8692129369247825462,301,CCS
c3375286412122375521,301,CEN
c5972407763497417179,302,CCS
c7669618907753235622,302,CEN
c9148741401608181682,302,CEN
c7407192858628245678,303,CEN
c3728521952256390369,303,CCS
c4489810610240055336,304,CEN
c5714571534590824943,304,CCS
c4298711838279702504,305,CEN
c3014770589946781557,305,CCS
c3008624399687591998,306,CEN
c2750363384824644444,306,CCS
c7009483533533948390,307,CEN
c3086504579258940590,307,CCS
c3881131219148248232,310,CEN
c2309933945051125692,310,CCS
c2778108593200000526,311,CEN
c5453939609062696595,311,CCS
c3718340277999016920,314,CEN
c6963603470481107336,314,CEN
c1071897890519458820,314,CCS
c1829123846159966276,315,CEN
c1852278134779147791,315,CCS
c8587794076404138835,316,CEN
c2346221840656728821,316,CCS
c9105441676870807550,317,CEN
c2171518812679084640,317,CCS
c2118832327524191221,318,CEN
c2344597098932781751,318,CCS
c2556018494779344591,319,CEN
c8211326679293091405,319,CCS
c9103417578619637444,320,CEN
c2590662626594560436,320,CCS
c2180104302623180150,321,CEN
c5151940077969130197,321,CCS
c8755205484719752849,322,CEN
c4558677848833048035,322,CCS
c8884923783413578231,323,CEN
c7519715435614540106,323,CCS
c8831916747409211568,324,CEN
c4265031565365712964,324,CCS
c6885431877155413376,325,CEN
c6296560583372056160,325,CCS
c5619672850004668607,325,CEN
c1463289939529197058,326,CCS
c2486019664801590995,326,CEN
c2802320987998077929,327,CCS
c5061505459668802685,327,CEN
c7047704689330755013,328,CCS
c3324743760461163303,328,CEN
c1214974718219265218,329,CCS
c5814887246451245213,329,CEN
c1598464690127988741,330,CCS
c4049610640295313382,330,CEN
c8792678305727699230,331,CCS
c1183236683256787252,331,CEN
c5953759338485122826,332,CCS
c8907337677285525341,332,CEN
c8573349561396079811,333,CCS
c5895419821977935766,333,CEN
c8232794302942772186,334,CCS
c7316975556154123574,334,CEN
c6530076214201165415,335,CCS
c7742136421549650262,335,CEN
c7319354433930798370,336,CCS
c2893742825899432557,336,CEN
c4134055298753452494,337,CCS
c3972786120328288526,337,CEN
c4204277850239056772,338,CCS
c9098477112433198376,338,CCS
c2666260321299754844,338,CEN
c6874971642861823334,339,CCS
c4552777486842709102,339,CEN
c5279181422530288365,340,CCS
c3227335507738395023,340,CEN
c5157162678865357562,341,CCS
c7051825598529078470,341,CEN
c3404857615376046626,342,CCS
c5576257365178835579,342,CEN
c6815529782850447497,343,CCS
c6583088756610305421,343,CEN
c8794299667461572836,344,CCS
c5390826545060505671,344,CEN
c4409599496234966057,344,CEN
c9405605853969088837,346,CCS
c7772150722425313443,346,CCS
c9133573147621367758,346,CCS
c7573455889014132339,346,CEN
c8465163582402398895,347,CCS
c5226577223259443349,347,CEN
c5197889842238276865,348,CCS
c6722272297450463228,348,CEN
c2375761381624945265,350,CCS
c4383139165172700435,350,CEN
c3475935257938856156,351,CCS
c6959199318033357457,351,CEN
c8202132333303271506,352,CCS
c3944069401541589844,352,CEN
c6432448064923488410,353,CCS
c3828326971717930047,353,CEN
c5000676640635725730,354,CCS
c1219303384816590275,354,CCS
c3684315513590416834,354,CEN
c3156684047603467739,355,CCS
c4357437138491415385,355,CEN
c1740532589427844728,356,CCS
c5421489201285547483,356,CEN
c6922765704772365352,357,CCS
c5675188049524299455,357,CEN
c4853046503638426404,358,CCS
c6563363645014998766,358,CEN
c5976076486522092260,361,CCS
c8309305247668554226,361,CEN
c1929089506651413079,362,CCS
c5908322261013803664,362,CEN
c3274372592080853491,363,CCS
c8157358053764635274,363,CEN
c3825125720378060993,364,CCS
c8402587814328940522,364,CEN
c3815365032099808523,366,CCS
c2605618085321412869,366,CEN
c7070293867405621821,367,CCS
c1183013183829954318,367,CEN
c8206599077501163886,368,CCS
c1572453279328065422,368,CEN
c7938511272150976444,369,CCS
c5285044485523779943,369,CCS
c5142068063075186719,369,CEN
c3870146984018041321,370,CCS
c1109912993492777531,370,CEN
c2191364582263263726,371,CCS
c7355226836568342610,371,CEN
c2101747279996181275,372,CCS
c2643119317376549293,372,CEN
c5226215485374512972,373,CCS
c8405526790093621678,373,CEN
c7372151212516643553,374,CCS
c4911984092449434050,374,CEN
c3405551658845910730,375,CCS
c3293528171499754485,375,CEN
c2833763849372790446,376,CCS
c1925615550575771228,376,CEN
c3772056120274344533,377,CCS
c9082946733166663895,377,CEN
c5120844158873550922,378,CCS
c3799628689450509677,378,CEN
c7692689770069660071,379,CCS
c5423465980522565454,379,CEN
c6036504687259673944,380,CCS
c5815258641303747111,380,CEN
c7315961445767206396,381,CCS
c6811588878783865237,381,CEN
c1143311049594510332,382,CCS
c8106145829414093355,382,CEN
c2802214677678218469,383,CCS
c1137886832738112460,383,CEN
c6459022844479648360,384,CCS
c9514899817330555760,384,CEN
c1277489807280656585,384,CEN
c5872420993070152267,384,CEN
c8722853434569989049,385,CEN
c8717751660241308045,385,CCS
c6248726885136841864,386,CCS
c6890132596085013642,386,CEN
c1460247882742108933,387,CEN
c5021055584997053281,387,CCS
c7344192452433272764,387,CCS
c2643193814762109763,388,CEN
c1676382314066570218,388,CCS
c8236006535339246154,389,CEN
c4204673896650989216,389,CCS
c6110455520851818733,389,CCS
c4016815512832019074,390,CCS
c3895938374497642703,390,CEN
c1445911772044266533,391,CCS
c8752944419714790504,391,CEN
c8315372527752732485,391,CEN
c3336826609914710363,392,CEN
c7961430337464054947,392,CCS
c3675841418141977104,393,CCS
c8046182754641542710,393,CEN
c1836471290374003833,396,CCS
c1894662421137667935,396,CEN
c4237167644005461857,397,CCS
c5449063837955928242,397,CEN
c2495745821179997737,398,CCS
c1446666966001801021,398,CEN
c6598861575972958725,399,CEN
c3494170189399813252,399,CCS
c1259756074000664003,400,CEN
c6348635017828704442,400,CCS
c7391974617322561240,403,CEN
c1127769705003941340,403,CCS
c1582948227360378722,404,CEN
c8781133667687570313,404,CCS
c5241990107088797523,405,CCS
c9179817981588785698,405,CEN
c7154765556041889581,406,CCS
c7904769633525035020,406,CEN
c6258996656048186634,407,CEN
c3363224835060105682,407,CCS
c4388447464283446677,408,CCS
c5003469336508971377,408,CEN
c2058493197756715196,409,CEN
c6369532239642210367,409,CCS
c5550307399656402609,410,CCS
c1598449005986255258,410,CEN
c1078324170896884382,411,CEN
c3183999224984482897,411,CCS
c2950507784810253091,412,CCS
c3402660271364302641,412,CEN
c4122746774807702158,413,CCS
c7959361073183499982,413,CEN
c6789630754156394486,416,CEN
c2069962317414936958,416,CCS
c4566111862749141978,417,CEN
c5136222991370850154,417,CCS
c3609929672872944956,418,CEN
c6186910984131847748,418,CCS
c6666198714490990498,419,CCS
c8599842337280935016,419,CEN
c3500404844516938836,420,CEN
c2506007300384627791,420,CCS
c1169944935484134138,421,CCS
c4347990271488152173,421,CEN
c1898313607619306813,424,CCS
c3077634161734986492,424,CEN
c2839761636290654417,425,CCS
c2257018872510690033,425,CEN
c8512064509089723028,426,CEN
c1959272258640182780,426,CCS
c2815962838504368392,431,CCS
c5832158666819981672,431,CEN
c8293316209840025543,432,CEN
c5428778756421844278,432,CCS
c4548630865386205790,433,CCS
c8942608006982224317,433,CEN
c7684288385335043724,434,CEN
c4726125166393241939,434,CCS
c6657530199478990744,435,CEN
c3541183397033202650,435,CCS
c3883421074243146028,436,CEN
c3516793880762049737,436,CCS
c1414009411384522611,437,CEN
c4832992726232864722,437,CCS
c6201565349303512676,438,CCS
c4992326301471914057,438,CEN
c3105486106305925529,439,CCS
c8688101861568642105,439,CEN
c7865157311557955300,440,CCS
c4257541706924055395,440,CEN
c5134308499742751612,441,CCS
c6621707674275286335,441,CEN
c2118548890954435070,442,CEN
c5594369722893249677,442,CCS
c6396136153494124355,443,CCS
c4572295423272575815,443,CEN
c7551160737768928033,443,CEN
c5992112710893060753,444,CCS
c1015858938401502748,444,CEN
c4495710296170668394,445,CEN
c1681037092262017934,445,CCS
c1587162810909902153,446,CCS
c2726787291048103166,446,CEN
c2952435561303870887,447,CCS
c8611418056079807464,447,CCS
c8718247574062885051,447,CEN
c2921285497469575141,448,CEN
c8583305978916650971,448,CCS
c6691052229203559928,449,CCS
c3464305116935222312,449,CEN
c1381041933224717540,449,CCS
c7551519916463061715,450,CCS
c2430294258294708694,450,CEN
c4341393002538614035,451,CEN
c4655184313537302206,451,CCS
c6255921125485978405,452,CEN
c6176125350225195175,452,CCS
c5158584345087498575,453,CCS
c4260485434256175772,453,CEN
c1772215682461780215,454,CCS
c2716403992750272322,454,CEN
c9254233535164576786,454,CCS
c8389113371280716299,455,CEN
c2428073758640573955,455,CCS
c5958656581321054571,456,CEN
c6612051162369526249,456,CCS
c3726096580727084829,457,CEN
c3367645880854913243,457,CCS
c1762067073921134817,458,CEN
c7146491968390243329,458,CCS
c6023136067522611247,459,CEN
c3932628489748544374,459,CCS
c2001796029141130664,460,CEN
c5517728202130617234,460,CCS
c2088949951519379555,461,CEN
c6754224861869074504,461,CCS
c6921315795459555794,462,CCS
c8410820070167401506,462,CEN
c2406128382446630697,463,CEN
c8140940255054385668,463,CCS
c2667667183547840637,464,CCS
c7825041739333051567,464,CEN
c8124005470795738595,465,CEN
c9798594356067960147,465,CEN
c3888111293780390814,465,CCS
c4341317773297043912,465,CCS
c7225813494690930970,466,CEN
c3034109293004703852,466,CCS
c3178136291248645108,467,CCS
c3315854116392842852,467,CEN
c6781887824948692758,468,CCS
c4662528637570445271,468,CEN
c5909145933865901002,469,CCS
c6426296912645507501,469,CEN
c4134805874773925600,469,CCS
c4784766354129886859,470,CCS
c6125530033465191298,470,CEN
c9139588211503918941,471,CEN
c9124481003389231165,471,CCS
c6554971511495890900,472,CCS
c4942702413808472234,472,CEN
c3997271177105916177,473,CCS
c8485952841232535278,473,CEN
c1864519971180144749,474,CCS
c1135290694018996629,474,CEN
c6970487982122321238,475,CCS
c7004474802581441017,475,CEN
c2929448272213839226,476,CCS
c4837387324722126842,476,CCS
c3208152191144864618,476,CEN
c6808411645297110758,477,CCS
c6998014733263857917,477,CEN
c8890425457692092323,478,CCS
c3273327668361007500,478,CEN
c6639419146258552957,479,CCS
c9077051235416738247,479,CEN
c1513595776204406715,480,CCS
c3495871486374258149,480,CEN
c7244150098653475492,481,CCS
c7888716559381516350,481,CEN
c4183498864372349113,484,CCS
c5543853087953843777,484,CEN
c8325736981551203048,485,CCS
c8755931440156028938,485,CEN
c2206624602824276427,486,CEN
c6401638005259285371,486,CCS
c8241284783156727154,487,CEN
c3345426429264555184,487,CCS
c2684373096741987029,488,CEN
c7931039665365544469,488,CCS
c6976230428948120598,489,CEN
c5929615467844773095,489,CCS
c9145266044514614014,489,CCS
c5767594123868966464,490,CEN
c8632562022848608327,490,CCS
c7262056733142672373,491,CEN
c3892019377035307080,491,CCS
c5133861291547497700,494,CEN
c3155649355192718768,494,CCS
