HH_ID_CEN,HH_ID_CCS
h84572704070355140,h66355168118442457
h74377181662243629,h66355168118442457
h64549637141971957,h66355168118442457
h76340482885810289,h66355168118442457
h80674922141145958,h66355168118442457
h64077422645908207,h66355168118442457
h57853313902932673,h66355168118442457
h15044312027390339,h66355168118442457
h16766741254009572,h66355168118442457
h89830427508007119,h66355168118442457
h12180285982439753,h66355168118442457
h11766620398544955,h77225349195582230
h58394717990816076,h77225349195582230
h71722466278599440,h77225349195582230
h24316477512513039,h77225349195582230
h54425552553314612,h77225349195582230
h30877533542460105,h77225349195582230
h73564149387018742,h77225349195582230
h41103488400507867,h77225349195582230
h30330160290972332,h77225349195582230
h81692708461818403,h77225349195582230
h41453906613918586,h57997549208302497
h27657796300234633,h57997549208302497
h57963542338683657,h57997549208302497
h59570872700985095,h57997549208302497
h21245178124550528,h57997549208302497
h50099075686652287,h57997549208302497
h43786276949847416,h57997549208302497
h62929926250776151,h57997549208302497
h35431680621190774,h57997549208302497
h23638321310422103,h57997549208302497
h85991620849257194,h57997549208302497
h81626291036803751,h57997549208302497
h55957368773985746,h57997549208302497
h31247999890722371,h57997549208302497
h94389016497978194,h57997549208302497
h23143931192700959,h57997549208302497
h50872536189920348,h57997549208302497
h91550851244200079,h57997549208302497
h44153981018123093,h75126733636203010
h40079152296157590,h75126733636203010
h13075215292191435,h75126733636203010
h64286989606295176,h75126733636203010
h79219106580825608,h75126733636203010
h81046386990619617,h75126733636203010
h80741771698671996,h75126733636203010
h79091871031736007,h75126733636203010
h60668093046706831,h75126733636203010
h54638376547963790,h75126733636203010
h64286589068073418,h75126733636203010
h76685195075633980,h75126733636203010
h11316019213006310,h75126733636203010
h55661311908770184,h75126733636203010
h30875866954833517,h75126733636203010
h39859458680291776,h75126733636203010
h92890488911577760,h75126733636203010
h63491223773538469,h75126733636203010
h29082127486116980,h75126733636203010
h44132646164090707,h75126733636203010
h36361445110699578,h75126733636203010
h47019392874843437,h75126733636203010
h97805240808780219,h29874244775187683
h26299492472632966,h29874244775187683
h17225648843998538,h29874244775187683
h50566343119039155,h29874244775187683
h51646244307578103,h29874244775187683
h38591569987659276,h29874244775187683
h53754010338495308,h29874244775187683
h70763459538166119,h29874244775187683
h88725039090908255,h29874244775187683
h16563877563174084,h29874244775187683
h86852254091805169,h29874244775187683
h85644878336285057,h27824591965430727
h40318691211066568,h27824591965430727
h37796419421766764,h27824591965430727
h28219646175810981,h27824591965430727
h11811270413923292,h27824591965430727
h61014504007046312,h27824591965430727
h12036287409938094,h27824591965430727
h48825468269817633,h27824591965430727
h49669522306359041,h27824591965430727
h81157786873127089,h27824591965430727
h73538201157542600,h27824591965430727
h96061481760584770,h27824591965430727
h95357785979742868,h27824591965430727
h17648522558182610,h27824591965430727
h91851354421310914,h27824591965430727
h92652267422540486,h27824591965430727
h31580812269642990,h27824591965430727
h45238324823499482,h27824591965430727
h43762313859735059,h77037714577460359
h21925069590090690,h77037714577460359
h32120867624727605,h77037714577460359
h43316894392943442,h77037714577460359
h71859690910408658,h77037714577460359
h52446121968315290,h77037714577460359
h98553959269877990,h77037714577460359
h78911856274000465,h77037714577460359
h75504418071456785,h77037714577460359
h20177455653705852,h77037714577460359
h89701972953465875,h65512644446424480
h30081570152425542,h65512644446424480
h43554578918761010,h65512644446424480
h32225518969872323,h65512644446424480
h63248572492295756,h65512644446424480
h72900320404607298,h65512644446424480
h64997421256854749,h65512644446424480
h10790934013662426,h65512644446424480
h55657327203702124,h65512644446424480
h82791395848288913,h65512644446424480
h88347724796787143,h65512644446424480
h97911019675551547,h65512644446424480
h15917109410663602,h16855692673454459
h60934527872400356,h16855692673454459
h45797820380947531,h16855692673454459
h17926509556761569,h16855692673454459
h70865574616631361,h16855692673454459
h55268317812175531,h16855692673454459
h93471287556917740,h16855692673454459
h77376557641131285,h16855692673454459
h93194435723611749,h16855692673454459
h51515326706366119,h16855692673454459
h74114135924712052,h16855692673454459
h17097486675324519,h16855692673454459
h80920426890033339,h16855692673454459
h15933437521035795,h16855692673454459
h84804892124588112,h84855065422931199
h88837104478398118,h84855065422931199
h49002995706185089,h84855065422931199
h85391314134199569,h84855065422931199
h61553465205156482,h84855065422931199
h75899110032746346,h84855065422931199
h83851429460229894,h84855065422931199
h46614901547301650,h84855065422931199
h44921181897842292,h84855065422931199
h42996825797543075,h84855065422931199
h32792089261442565,h84855065422931199
h40595605286994283,h84855065422931199
h84696283257936958,h84855065422931199
h70136002443779827,h81679276867160287
h32987161401317436,h81679276867160287
h22940951853226961,h81679276867160287
h44962064616175526,h81679276867160287
h55282773511987440,h81679276867160287
h76618125028470973,h81679276867160287
h72348340856776626,h81679276867160287
h50738845650416971,h81679276867160287
h65364823061450508,h81679276867160287
h81769845541784944,h85109494109451852
h56038954508287103,h85109494109451852
h18079035155137952,h85109494109451852
h98378577939566493,h85109494109451852
h10732450603660961,h85109494109451852
h37505358176753800,h85109494109451852
h98981512807304195,h85109494109451852
h80569389102233058,h85109494109451852
h84907377647292950,h85109494109451852
h32511316242619172,h85109494109451852
h12754003601031905,h85109494109451852
h56085944889834013,h85109494109451852
h11190468152362846,h85109494109451852
h13382225222910251,h85109494109451852
h64969658304626709,h85109494109451852
h86894215067132290,h85109494109451852
h77232227440123214,h85109494109451852
h18648598271645023,h85109494109451852
h62332165445533274,h77872464660465186
h47647786800607824,h77872464660465186
h74633720894874568,h77872464660465186
h71057981325421286,h77872464660465186
h79766771812261998,h77872464660465186
h58584544525151374,h77872464660465186
h51636514748545192,h77872464660465186
h16485401065822217,h77872464660465186
h67569397861973456,h77872464660465186
h76155568734079992,h77872464660465186
h76464426209898229,h77872464660465186
h70484481888940212,h77872464660465186
h17964278806212452,h77872464660465186
h47125800677981008,h77872464660465186
h80962918454115570,h77872464660465186
h12904295607043889,h49475040475950115
h89578931481994287,h49475040475950115
h88188474921322778,h49475040475950115
h89397754831665872,h49475040475950115
h98041205415896505,h49475040475950115
h42479497231175497,h49475040475950115
h89199210683516968,h49475040475950115
h67096382985863171,h49475040475950115
h68042488445988706,h49475040475950115
h19266136878127828,h49475040475950115
h39757845111207750,h49475040475950115
h73886013851983858,h49475040475950115
h53411000112594761,h49475040475950115
h81370841914952213,h49475040475950115
h83732867665064153,h49475040475950115
h33284455744010694,h49475040475950115
h44547424866157817,h49475040475950115
h20809210597355140,h89180941231877248
h26879863743193729,h89180941231877248
h15178885687283840,h89180941231877248
h64870328900657734,h89180941231877248
h50545484535240600,h89180941231877248
h18679037805027660,h89180941231877248
h95377356237675601,h89180941231877248
h57562793022626103,h89180941231877248
h40701868318863054,h89180941231877248
h66661985190496997,h89180941231877248
h24420819485291070,h89180941231877248
h20155539645608539,h89180941231877248
h96081543528374588,h89180941231877248
h68126220732093576,h89180941231877248
h61912454329840718,h89180941231877248
h78796810864442464,h76057507550870675
h99020310338397990,h76057507550870675
h61648793544271144,h76057507550870675
h31918808076472236,h76057507550870675
h48249301085761592,h76057507550870675
h80405265918368293,h76057507550870675
h60508797396195989,h76057507550870675
h63493254572308815,h76057507550870675
h91520280907338305,h76057507550870675
h56630922555236524,h76057507550870675
h60560799966728213,h76057507550870675
h12202407411818486,h76057507550870675
h24142747965551270,h76057507550870675
h83324308452401138,h76057507550870675
h57020216264601546,h76057507550870675
h34962273096452106,h55874530520371047
h13145794690116432,h55874530520371047
h53866081260580678,h55874530520371047
h69839681622772290,h55874530520371047
h38912986180473847,h55874530520371047
h60916520641366736,h55874530520371047
h74913573505135751,h55874530520371047
h82254128013542801,h55874530520371047
h11605759578260019,h55874530520371047
h98997794929185702,h55874530520371047
h77807006021917425,h55874530520371047
h10271480314793803,h55874530520371047
h49308803959296860,h55874530520371047
h25552481027416752,h55874530520371047
h15151177563317608,h55874530520371047
h10952610557825171,h78066807240522718
h55901816177390500,h78066807240522718
h40098352684710385,h78066807240522718
h61849185013528957,h78066807240522718
h95698698469601271,h78066807240522718
h21536343195307038,h78066807240522718
h38508317181250238,h78066807240522718
h47968144314832355,h78066807240522718
h10482741021907231,h78066807240522718
h10004120415292300,h78066807240522718
h55962487740081226,h78066807240522718
h12101091368662550,h78066807240522718
h11470633792634521,h78066807240522718
h24971254996948576,h78066807240522718
h31399776903732795,h78066807240522718
h80712928805913603,h61880991090387384
h96912485319278616,h61880991090387384
h85076185240982471,h61880991090387384
h29114243288739087,h61880991090387384
h86994754612836059,h61880991090387384
h44543729239919006,h61880991090387384
h17161082060939261,h61880991090387384
h69289941697935719,h61880991090387384
h94686227863280388,h61880991090387384
h90508900230028932,h61880991090387384
h61666216430339035,h61880991090387384
h76895984666649656,h61880991090387384
h41867869656707081,h61880991090387384
h70884470635806221,h61880991090387384
h86499094784312735,h34983546887505843
h64882049163248745,h34983546887505843
h38549762901029166,h34983546887505843
h43010894006116447,h34983546887505843
h34412505883357822,h34983546887505843
h93770656179534018,h34983546887505843
h66479796536535468,h34983546887505843
h26935185101244048,h34983546887505843
h47467368537379849,h34983546887505843
h28885465789404642,h34983546887505843
h89187344074135140,h34983546887505843
h14623086294203032,h34983546887505843
h81117826481345805,h34983546887505843
h16908341202734110,h34983546887505843
h53151185950887245,h34983546887505843
h44244701432971067,h34983546887505843
h94193058788269145,h34983546887505843
h33585740851575656,h26383878247241924
h53502808758201463,h26383878247241924
h73488802917243811,h26383878247241924
h28439181302659195,h26383878247241924
h58754293542423077,h26383878247241924
h39302919970494096,h26383878247241924
h26327722971142334,h26383878247241924
h73870227775529349,h26383878247241924
h79281163904065293,h26383878247241924
h51420574212923005,h26383878247241924
h98183724198848543,h26383878247241924
h50303324611022341,h26383878247241924
h20505397519001007,h26383878247241924
h36536200220043821,h26383878247241924
h28324959866150531,h26383878247241924
h71921217652242805,h29925476250330664
h82286706492784905,h29925476250330664
h31579806554443254,h29925476250330664
h92804768589351321,h29925476250330664
h67223046155440922,h29925476250330664
h88770304839185559,h29925476250330664
h89903969962238168,h29925476250330664
h59138691150610734,h29925476250330664
h27883431240220901,h29925476250330664
h34109145401433937,h29925476250330664
h96414537303071852,h29925476250330664
h45596965044321995,h29925476250330664
h39714140036874181,h29925476250330664
h18639542565360682,h29925476250330664
h93728563917749651,h29925476250330664
h14416735806450954,h29925476250330664
h82070733034511503,h29925476250330664
h61354737651073021,h29925476250330664
h97004181805511857,h29925476250330664
h22323046033450561,h87923604778011966
h53570641166886948,h87923604778011966
h60930091462174609,h87923604778011966
h34054916168886286,h87923604778011966
h85772889492451207,h87923604778011966
h85449568096224017,h87923604778011966
h81613881494246295,h87923604778011966
h36610588362647386,h87923604778011966
h29399564190568497,h87923604778011966
h93452742538533875,h87923604778011966
h17770511720131979,h87923604778011966
h54566028087477397,h87923604778011966
h84913952002970370,h87923604778011966
h32468680471673803,h87923604778011966
h61367159490051825,h87923604778011966
h23527713137367292,h87923604778011966
h74506970952766148,h87923604778011966
h88519642911889308,h87923604778011966
h44797080495003566,h87923604778011966
h33720514189899254,h87923604778011966
h91788714972119468,h87923604778011966
h76123216343856995,h88284334020163362
h81858004464223470,h88284334020163362
h58990762998981612,h88284334020163362
h42141300709746346,h88284334020163362
h18099556303789745,h88284334020163362
h61273081874866185,h88284334020163362
h64550521418599284,h88284334020163362
h75261295172384283,h88284334020163362
h64533241166427153,h88284334020163362
h68915801463177855,h88284334020163362
h21097718130806769,h88284334020163362
h77274596681866680,h88284334020163362
h26514997083088451,h88284334020163362
h51084214669248516,h88284334020163362
h98963136210698986,h88284334020163362
h67594523046634556,h88284334020163362
h95735265199670745,h88284334020163362
h42182981259252780,h88284334020163362
h29020680310744363,h88284334020163362
h24507434332650599,h88284334020163362
h67805940946501364,h88284334020163362
h62261515370019866,h88284334020163362
h26150493721967859,h88284334020163362
h40567680610550947,h88284334020163362
h75668664703299408,h61004465719790316
h56552737940702647,h61004465719790316
h87416374513760475,h61004465719790316
h16822317284757006,h61004465719790316
h19004676549907909,h61004465719790316
h43012451680137336,h61004465719790316
h81023721279044890,h61004465719790316
h86476133564019767,h61004465719790316
h30062362244726988,h61004465719790316
h39106647957704500,h61004465719790316
h92740516875622434,h61004465719790316
h90741769287871378,h61004465719790316
h19444174426011507,h61004465719790316
h23347880190039393,h61004465719790316
h98493753178624385,h61004465719790316
h51403476916568167,h12903846695120285
h88143001692547131,h12903846695120285
h38757698591638065,h12903846695120285
h38434536157331414,h12903846695120285
h43434912415326276,h12903846695120285
h39190281963073974,h12903846695120285
h75896368033183549,h12903846695120285
h66565149577079540,h12903846695120285
h55310730741927568,h12903846695120285
h96518181566944594,h12903846695120285
h71166420982096050,h12903846695120285
h53883474288231476,h12903846695120285
h31820574208846278,h12903846695120285
h29251918141841432,h12903846695120285
h43449556306454548,h12903846695120285
h63875758901213085,h12903846695120285
h91011998298368708,h12903846695120285
h30933239229808868,h12903846695120285
h55962013745051326,h12903846695120285
h47499344968050543,h41910422267338920
h24105377616476208,h41910422267338920
h23630239066989663,h41910422267338920
h97887024619498232,h41910422267338920
h29629978391837677,h41910422267338920
h85797448574112925,h41910422267338920
h51994416034409767,h41910422267338920
h82529977865857017,h41910422267338920
h98381855127690989,h41910422267338920
h45821320233884617,h41910422267338920
h27491930408165328,h41910422267338920
h18812867056265969,h41910422267338920
h52259921926011225,h41910422267338920
h12822505027695828,h41910422267338920
h54577884282215381,h28947214572096471
h83771992566162261,h28947214572096471
h31424106726408305,h28947214572096471
h78098774606409648,h28947214572096471
h23967373462553441,h28947214572096471
h99383000046319992,h28947214572096471
h52747631669182888,h28947214572096471
h54675256832972298,h28947214572096471
h84026289750535688,h28947214572096471
h26524734066768652,h28947214572096471
h79919974108782882,h28947214572096471
h90662026631560409,h28947214572096471
h51728639046210032,h28947214572096471
h47441892946475279,h28947214572096471
h96513966072426616,h95026647321527428
h96659239976979974,h95026647321527428
h58476765389903381,h95026647321527428
h51621168460018628,h95026647321527428
h53192010650225583,h95026647321527428
h12449378922690615,h95026647321527428
h45664485291781255,h95026647321527428
h54756418757416656,h95026647321527428
h35110551704827528,h95026647321527428
h91918185419658352,h95026647321527428
h66465719381183220,h95026647321527428
h69942116170344044,h95026647321527428
h97753709167249006,h95026647321527428
h13515168297566989,h95026647321527428
h86198645820610274,h95026647321527428
h79100896598652757,h95026647321527428
h65359845915232634,h95026647321527428
h46956201841625513,h95026647321527428
h32827456249763928,h95026647321527428
h30992501411620725,h99455904353250149
h73428526281136056,h99455904353250149
h94920420287801285,h99455904353250149
h53624316356706462,h99455904353250149
h52142267470533378,h99455904353250149
h48782375282020772,h99455904353250149
h14492013073869664,h99455904353250149
h62374952795773912,h99455904353250149
h25069367650549807,h99455904353250149
h44491275458169088,h76898272424697706
h56237605667556465,h76898272424697706
h48648122878386760,h76898272424697706
h22296963971973590,h76898272424697706
h82015523135265541,h76898272424697706
h55401833548456470,h76898272424697706
h63269814358259473,h76898272424697706
h10507257070139344,h76898272424697706
h72784907980231283,h76898272424697706
h63969687244576598,h76898272424697706
h88751079451131465,h76898272424697706
h75949541546099956,h76898272424697706
h99341103194330258,h76898272424697706
h52175480334202077,h76898272424697706
h92557530724877346,h76898272424697706
h86076915747735521,h76898272424697706
h76384921670605733,h76898272424697706
h89872741847178140,h76898272424697706
h23720129391661191,h26297641714183279
h83759979909390448,h26297641714183279
h82532523963668637,h26297641714183279
h53919070270950636,h26297641714183279
h89701090432533688,h26297641714183279
h47316080997565125,h26297641714183279
h10039031941056173,h26297641714183279
h40282320054598631,h26297641714183279
h25197769603173728,h26297641714183279
h88540087345272323,h26297641714183279
h96563296241959287,h26297641714183279
h92006637944906559,h26297641714183279
h36530552952325367,h26297641714183279
h57738081141417769,h26297641714183279
h51407000476509188,h26297641714183279
h17430574380323676,h26297641714183279
h64208389617673325,h26297641714183279
h72375311438964351,h26297641714183279
h16433980947782105,h26297641714183279
h51039317281358319,h26297641714183279
h86047340608699252,h26297641714183279
h42590140623916103,h26297641714183279
h17083211597598001,h26297641714183279
h92005471898954137,h36643858976354575
h73382099153984337,h36643858976354575
h77527170682655318,h36643858976354575
h23642014597675571,h36643858976354575
h88356921379351591,h36643858976354575
h84409882021468735,h36643858976354575
h45854507899495618,h36643858976354575
h44237886222468458,h36643858976354575
h55370687382381212,h36643858976354575
h59749082420967566,h36643858976354575
h19932250712562195,h36643858976354575
h69600626575145102,h36643858976354575
h53908601738813482,h36643858976354575
h37425409615294843,h36643858976354575
h46200589836064330,h36643858976354575
h44763911925402594,h36643858976354575
h79128830023678883,h36643858976354575
h99878922961117138,h36643858976354575
h54093837195010115,h36643858976354575
h20025251176777877,h36643858976354575
h64786921824731746,h36643858976354575
h16758366303350807,h67604067655050740
h36968333615529411,h67604067655050740
h78090733519014409,h67604067655050740
h18150062077800014,h67604067655050740
h57501297662497380,h67604067655050740
h68902085559263885,h67604067655050740
h30287309113883299,h67604067655050740
h24980866699076248,h67604067655050740
h15936405707506432,h67604067655050740
h74545538835096299,h32097008069137810
h30043778574745047,h32097008069137810
h57701529597305974,h32097008069137810
h66226118137148690,h32097008069137810
h51053079826723915,h32097008069137810
h77896807985217950,h32097008069137810
h46721521094200503,h32097008069137810
h67317216103195663,h32097008069137810
h42206247252589830,h32097008069137810
h74467699051584386,h32097008069137810
h65314191083796421,h32097008069137810
h43708613200789821,h32097008069137810
h49940479216097048,h32097008069137810
h75825678658990711,h32097008069137810
h17538111412286429,h32097008069137810
h62795360919563224,h93537829769779412
h81933901615537220,h93537829769779412
h67421030436774020,h93537829769779412
h44742632455274621,h93537829769779412
h92841299499660702,h93537829769779412
h83548039214130788,h93537829769779412
h34095472935782783,h93537829769779412
h54916614760636369,h93537829769779412
h89609907212382198,h93537829769779412
h11471377237866371,h93537829769779412
h55462817308715632,h93537829769779412
h14577034416545655,h93537829769779412
h95097863582940366,h93537829769779412
h41744341640674552,h93537829769779412
h85105171596951719,h26188379203483502
h72526930404395698,h26188379203483502
h73143837515093379,h26188379203483502
h91380576727976748,h26188379203483502
