CE_ID,Nature_Of_Establishment,Number_Of_Residents,QID
e51683447502099178,6,12,q7891927990771328
e74123545300035095,-9,43,q5478506593024908
e32981107753072855,18,24,q2825618659067155
e99729057073507111,13,37,q2007566424479286
e67935888722925405,-9,12,q7375023924104991
e35370386895751604,2,39,q1381879644850584
e48113085992757662,13,29,q1468496599729754
e99790329628657621,14,34,q3401211293572869
e52471167271378062,7,9,q7149838568085869
e46329857036912704,9,13,q9450714701706875
e29740695545834449,18,7,q6164442403501262
e73087260378385266,-9,48,q3049337277081511
e23924556967093117,-9,44,q2921773566025988
e63241985814635043,3,10,q6312668308364978
e56443577131534014,16,29,q5633111712194215
e44939632270855803,19,38,q1150318995220452
e78478312357524209,7,22,q1349033975497266
e25472163377397395,7,20,q9094324434749408
e10878747687312003,4,19,q4785697387010459
e70141272124416521,15,46,q4438972633497326
e90641251356420204,21,47,q3384070794253302
e93787893240765650,9,16,q5120118332766340
e75562945995577839,-7,44,q1610060531316900
e61025266957172447,15,12,q6476297395794493
e81788240933716470,14,10,q2267838616392580
e43094668677209084,12,30,q6685560962857213
e63067665474976653,12,14,q2163631978080919
e99363626355939110,2,43,q9071676235427699
e56584428698540756,10,32,q4889508213484551
e26525871122392284,12,31,q8607460729490564
e85805874292871323,13,48,q8431901224386808
e54276750669177637,22,25,q8067526265876081
e60852842213077881,20,32,q2650545586449260
e17934489735317955,12,40,q9386991933720371
e85633428987194526,-9,13,q6526503181618875
e64750246617882459,9,7,q7732435931451819
e27501509902796134,22,35,q1048000208646958
e44149378969109372,8,9,q9235888343721896
e12834728720407982,17,37,q2234084806217613
e75896821720650196,22,32,q5463147793062090
e33133735160792443,2,17,q5654043666347199
e17558517548022867,12,40,q4163143791587607
e90025496699806875,5,46,q8294971641752926
e60314270317879117,22,8,q5740279442054392
e89691334824050152,6,23,q3225102944695136
e37162152333671630,8,8,q9765171172841645
e45828253810310162,-9,13,q2366629588857168
e77227077842238971,8,35,q4515288914542148
e14950935291981580,6,18,q8934024495742570
e96575702908772475,16,13,q6245803899559463
e56483716683412320,-9,13,q2722485398706484
e71619884534594189,11,9,q9738741092236824
e97874970514863227,14,36,q3925410108909499
e26533943674229827,9,6,q7646944523648280
e80405799973304266,11,20,q3314993599537350
e24645195331032186,13,43,q6219791742536796
e78532386693136847,2,18,q1753546261115361
e60603410160089009,-9,49,q4074378660669735
e56091355239729860,22,14,q3201874315138545
e60316180719367354,-7,19,q8411628932171238
e56158566250713614,1,31,q3492236737633176
e22068390999383161,4,10,q6282282032380970
e93343886719057616,4,35,q6232588985935925
e44918599038206116,17,18,q8962200059294023
e92430607591113534,6,48,q3577224413636941
e94670475386702700,22,20,q7252336368987168
e76815159340870773,-9,48,q2509882236094117
e78624767860795414,-9,16,q2199643318142441
e20673872571363219,9,31,q9643836577418939
e70688104434622449,-9,40,q4865978367066394
e89167208160899725,8,31,q4623319419877510
e63764326130965743,18,44,q2227398524394534
e92200701441584046,1,18,q7606016500247293
e39274978762169592,2,7,q5888205870880322
e40259627514715422,17,26,q3540459172203558
e61201755583889517,16,28,q3627371576572180
e16757552860557234,10,36,q9264219423470570
e95092996265905175,8,36,q6694328400296308
e89155665487641809,6,43,q1516510405976739
e78136994267679403,8,33,q3830458546779022
e45228722704788974,18,27,q9073046995144286
e27237186567565006,5,34,q4460421070014438
e13004017764550877,22,15,q9746745121598972
e68744707879838503,-7,8,q7618510535234539
e98831793758605121,5,6,q1468166766132828
e44269673082204176,21,19,q2308175549924484
e30547852211479761,17,23,q1271956332417719
e12108078705656326,12,43,q9498408131824173
e64012717854604691,9,32,q8452953047363068
e80836441887866246,3,47,q5208167423923947
e73450849723289822,13,23,q2124853889672958
e91899205299817163,21,14,q5582513488384873
e89740833147162754,14,16,q6034060607984302
e12250742773713266,16,31,q2745127677876119
e62480687578444538,8,44,q3942890170409565
e32909307724918770,9,20,q3844431980683063
e28791759828249674,21,19,q9092307474537189
e71278333270819746,6,42,q1171727359870388
e40831734949758791,17,13,q7217128477354562
e51172166244729077,5,14,q9097598553468865
e48170642370238219,1,36,q8884415870834175
e31230528776103344,14,38,q2758408055150142
e45862163189755516,2,17,q8246502762260071
e99970729164793698,12,26,q1768026371326306
e80190882935389634,16,32,q3324165435610793
e25010390338448978,13,36,q4720198858511034
e19694229675679829,21,28,q1614422396189819
e45217953178395709,22,21,q9227936033675878
e96948540785684118,-7,29,q1462095831405466
e69195905133537026,9,16,q4405578986754024
e47447086564903449,21,28,q8496806782307663
e35606344647314368,21,27,q4970212741744139
e86613371656478116,8,14,q9929832921498745
e90791538498654075,20,13,q9669901885281895
e35514316343373718,21,15,q9422063626809102
e42970874284518460,3,16,q3055503772789955
e15680563232701009,3,28,q8988048997357647
e40340120852586581,21,38,q2824935267658982
e17951380496391086,3,6,q2622524050402532
e25003877297483263,16,46,q6929406353603426
e88159809555377397,20,40,q1174300654551362
e32121982557933419,16,11,q3382602098110706
e52823205301736037,16,25,q9571970010142286
e23730192989207555,8,48,q9139444157607817
e72759679999477090,16,26,q6347366979671735
e99124743804333031,16,19,q3212589986580769
e40949437392894715,-9,18,q7443343687047780
e52780048737126135,17,29,q4088078983667035
e18874634393673300,7,23,q7863775403311658
e40989962135001030,19,26,q4291360442296059
e84804276317829960,8,46,q1858675034119955
e11225258649132772,10,42,q7231102512174911
e43132077780738114,16,48,q6951121780515091
e74814687077408720,8,29,q4366199234914292
e84053651030266392,19,22,q7519157978097331
e31295031972471935,12,31,q4727879645032031
e88306735646500115,18,47,q5364743978437983
e74403044642850493,19,40,q2270915000177410
e42480780972858393,-9,25,q5785434638303389
e20595758150549109,17,18,q4270248855074962
e93921659884765042,15,45,q8489255384909402
e99391783564445763,12,49,q4625229552608663
e11387127183480293,4,23,q3366160072030940
e36398350226396673,-7,11,q6254497899539124
e23249422323077777,20,18,q6494880066335333
e27716605998313023,20,15,q9592955295785964
e34052802995227255,8,9,q3606837844737333
e88410372508439969,11,26,q7485890902741042
e86720339784082320,8,8,q8475450000062655
e88203688580518268,20,19,q9028901193044152
e48009602231528335,16,20,q9953503112118373
e26241473288211678,12,15,q3211544462273985
e13675177838621321,2,19,q4873897409237603
e41939208945207817,22,24,q9254142266306453
e82967434322013592,11,27,q9418098370093509
e88444117864132899,10,15,q4226646392583128
e88862172461702725,9,37,q2019985152024334
e63906772776687494,21,37,q3423429631698692
e89729543872509836,19,39,q2791742574688621
e52322987272918656,19,31,q8368476948677627
e37454675585898998,14,11,q3453440597311281
e34694977411689519,10,23,q1759642078401360
e81651470171885385,18,31,q5401981279226997
e67728169593717219,5,29,q6682680607267564
e99652759250193997,20,49,q4467494417835505
e55234218798225393,14,7,q6699453442673569
e90838622078144932,4,13,q7191288737721407
e17843669134002598,12,26,q8785301442949871
e67156709897828895,17,17,q8304991619117058
e71655653204785264,15,14,q1613832814740026
e90956846440721310,17,33,q5829357694351621
e53055780333804336,11,41,q6667622049929083
e43816831390476126,5,22,q1541863946171879
e72261593688351430,10,19,q5000039385482679
e54049910886763845,22,20,q3657861187255273
e99477311550399068,15,40,q5121760423019540
e62854635642409609,9,14,q1607241920900917
e43094996456758303,11,34,q6947775346660158
e37000113785648427,-9,33,q3586079773199849
e92413708544572255,5,42,q3232884179630846
e39235477712314407,16,37,q6569176021711532
e70341407662607235,13,38,q5332456036397261
e96895982372049752,17,29,q7879036066528068
e76538782946764457,22,37,q2722848185479718
e31997827003066265,12,19,q9551653330560970
e56388326266331722,17,23,q8275531450157316
e19154069329840115,7,39,q6080152568409439
e13369241022581676,16,41,q9180115684014879
e29399636326237023,7,38,q9953548255806978
e63258328834349314,6,42,q1388939134160092
e58140985986599254,6,28,q5124507276365866
e18327408200544395,-9,25,q3470293577194392
e70270369709129042,6,19,q2285265407495830
e20812513048271961,20,18,q2284011670756257
e92191519922804258,13,6,q6409479052663503
e10017572089945775,22,32,q7537220842986040
e88914535242572922,8,36,q8182861823075559
e21219372461286090,21,13,q4194012022993079
e91352366629514840,22,9,q5923288983811287
e61914409778453376,3,20,q7880607084002017
e59820832645043917,10,45,q3958217179088569
e11051426281687606,2,23,q9699713565305016
e30518168929620125,9,18,q3949462918993831
e79619449266986171,22,37,q5768440567964865
e43645350306108445,-9,47,q7378845672487971
e81235321229501293,12,38,q2367211495559067
e61458567948854909,18,11,q7651115116130222
e33060354426854066,20,8,q1653678354480899
e85840540890581408,20,23,q5354063162245974
e83851708603126361,17,47,q8334435702155800
e48245474659624223,2,35,q8328579898431914
e56076404315064276,5,37,q6154579111131601
e70769407655522359,14,11,q2123177117965405
e50775205777618909,15,40,q6013315181454190
e28905996714877751,3,20,q2847805843620922
e88612902186773628,2,27,q4644833668000813
e51936308462491819,1,33,q7918893104233369
e82466698863902677,21,8,q9155868987892291
e20287235340759987,16,33,q2761127998631309
e78311612817475512,1,20,q2257082939597768
e93284177366999487,9,14,q8993430379220840
e53304608948912695,14,26,q4012562856202939
e80956040627246981,-9,14,q9359416853868845
e22407868457138668,14,13,q7044920031320655
e94940781551082758,13,9,q2969757238133295
e63129292622292472,11,22,q3517140169844514
e83933474585160364,20,36,q8874346692942802
e25042043256115919,11,16,q3244064075704623
e12643900862072639,1,47,q9079357236534561
e71777928005767388,6,37,q9887936162607676
e59533004919258173,2,13,q6860830362798620
e93878929921153901,16,7,q3668522806193945
e93241185462521942,15,46,q9016561253087298
e95275470647269683,20,33,q6730558987574740
e27811012033547744,1,10,q8571683252014160
e63323900231164836,12,6,q8613690866081520
e93146555933455824,9,10,q9116124417710267
e31471438813616584,5,21,q7024437888045214
e17975874781917770,4,28,q6264092928973692
e82855761556092168,14,32,q6637351249159343
e49298010962210353,17,10,q9965894687524687
e44373131422573589,9,33,q7239925288762326
e55176377216333053,19,45,q3778801396836581
e27329617733224184,3,20,q2695249601644892
e85365530417667298,8,26,q3827693458516860
e13324623147067379,14,48,q5334758958312017
e75924626275890395,19,25,q3122262166538501
e76077005156151309,3,14,q9930419231754602
e75898385339467004,9,34,q8525117093316227
e60982376788401343,8,6,q6987913031700674
e42376646019601664,9,46,q2481876898500602
e61284396051498130,4,39,q8526193467830930
e71602499652605150,1,29,q3766514719833847
e27392364158949144,3,23,q8083491048734568
e63081711433569930,-7,23,q7945825557089133
e69217972988651063,11,13,q2631102813883570
e25911951088776550,7,15,q7516294806238927
e34999143473003061,9,32,q1588838165564798
e46887794367922214,1,46,q5104168528089251
e34564733313855185,6,49,q9997860830966445
e92153049742530346,21,6,q5602198996015950
e78931336888000802,-7,38,q1220490894104961
e44079862683493763,3,33,q9074849436374518
e93487504085969027,11,10,q8459628181796126
e22210681231955764,4,10,q2425891372465785
e50411833113852185,19,45,q5238045665935008
e63510884988393854,10,11,q8569098262259773
e76334431715602032,13,16,q1991186301722594
e21996031870018735,18,12,q5646437859064333
e57519287673487593,18,22,q3448177030267070
e87822213819899159,7,31,q1012065287895227
e66541264581553217,7,41,q6667535116122926
e32867323708343553,5,48,q7549567390361137
e10225187828842556,21,36,q4934345656767546
e74731570365955701,12,15,q9599610016276096
e36078010594061976,11,40,q6077847024785623
e64889587886482244,10,45,q8749390497019982
e29093308049695624,4,26,q6081195937292777
e14568671784671982,15,34,q7482281892868358
e46372082114162124,5,23,q7772839925097821
e32760511950112822,3,38,q2753133949499338
e76653341811384147,3,44,q6128045991092925
e77917661428615452,6,13,q8269785468784650
e77404145323172544,20,34,q3891405940989540
e82723649554221370,20,34,q4036776524350294
e17547746079394534,14,16,q5730669788751330
e71291053208078443,10,39,q5626216607563908
e41025190748783209,8,6,q6368580021438437
e78216726782594070,17,28,q4330291108670063
e78893160648823655,16,25,q5308851930582300
e46005754599328579,12,48,q9813965586768829
e10270739156239138,5,34,q8134915246167633
e38805643759918506,17,43,q4629964120906605
e83212421539012068,13,41,q9598268110650513
e28516318134314149,15,38,q3251049570671893
e85715753098173084,4,18,q2258401768616358
e29967308435222606,7,29,q6533422447448255
e72126444585360780,1,12,q1209950296070758
e56786994777445375,1,28,q2246457866948709
e71527711607035590,20,30,q5233757286995147
e44031842965476129,7,35,q8425291003600001
e87287006763968082,11,41,q1526959533395676
e90462043719474433,11,47,q4020224579267722
e65288766056635265,20,45,q4474258290518644
e12402064901705108,2,43,q2233177729099268
e89188922540006517,21,49,q7021016723887288
e63399171316942196,12,42,q4283944876363444
e92660545214413539,5,13,q8450818635469766
e63035522601803607,12,48,q3787106587344455
e41983984347378822,20,21,q4152905333419004
e55419848343140970,17,10,q5239820841946982
e24962702837712867,7,44,q9108177293002806
e93621454027278548,13,11,q3158596056397899
e17601689678800793,9,19,q1819770365079890
e31547522348192479,16,14,q2278772563189890
e14826815352546778,15,9,q3357336873520969
e70371877353428309,18,48,q5674614309966072
e41533312228794082,3,25,q8982937649379734
e97960049761522217,9,33,q3483345522319778
e88789059954681918,-9,33,q3163627278326773
