CCS_Household_ID,CCS_Resident_ID,Census_Household_ID,Census_Resident_ID,Person match status,Household cluster,Notes
35632814547874400,33043147128842700,54155500073146000,,0,11,
35632814547874400,14172453573826700,54155500073146000,,,11,
35632814547874400,,54155500073146000,81696328078393300,0,11,
35632814547874400,14172453573826700,19964815491282700,,0,11,
35632814547874400,33043147128842700,19964815491282700,,,11,
35632814547874400,,19964815491282700,30311017009507900,0,11,
43730119910132100,98073709550740800,70680135386635500,19293140727568900,1,12,
43730119910132100,15491418942423600,55962044565047000,90728907300174800,1,12,
56302067802542200,21271643474076200,99392289868983300,77586544516682000,1,13,
56302067802542200,,99392289868983300,88409732356739300,0,13,
70913828997094000,16683491728436500,34143562914503900,,0,14,
70913828997094000,72795788415737200,34143562914503900,,0,14,
70913828997094000,,34143562914503900,61735752870364500,0,14,
69383439601530600,57755130668196500,16631936516558500,,0,15,
69383439601530600,34497448875081600,16631936516558500,,0,15,
69383439601530600,,16631936516558500,91707886168827700,0,15,
69383439601530600,,16631936516558500,53185760122507400,0,15,
69383439601530600,,16631936516558500,61871628898832100,0,15,
27188563257030700,,74419554644542000,93491196279109500,0,16,
27188563257030700,96463581595231600,74419554644542000,,0,16,
27188563257030700,16160402457415500,74419554644542000,,0,16,
32382895436251600,25508228691238500,94473517224678800,16625875229957800,1,17,
32382895436251600,,94473517224678800,94034798163189500,0,17,
32382895436251600,,94473517224678800,69207823120187000,0,17,
23656573617577200,,55605466593522500,87765741181139700,0,18,
23656573617577200,89054101322521400,55605466593522500,,0,18,
56658424624970500,62868772777405400,95143306538411200,,0,19,
56658424624970500,13549339569506000,95143306538411200,,0,19,
56658424624970500,,95143306538411200,37991980019143100,0,19,
51512743543973200,78732140437624900,89794870826249500,4570596175250060000,1,20,
18812652404543900,62036305622139100,95143306538411200,83723367097612200,1,21,
18812652404543900,66158602248532100,95508247617954900,56183941959193400,1,21,
18812652404543900,58376185966693200,95508247617954900,11448175729145800,1,21,
80731412772861700,50375556283847300,32265766133455400,,0,22,
80731412772861700,87756845930308700,32265766133455400,,0,22,
80731412772861700,52637899676137200,32265766133455400,,0,22,
80731412772861700,50375556283847300,32265766133455400,,0,22,
80731412772861700,87756845930308700,32265766133455400,,0,22,
80731412772861700,52637899676137200,32265766133455400,96347989311301300,1,22,
91556471008111100,76146761024029500,32265766133455400,30446819914599400,1,22,
91556471008111100,92330007626939500,97199910925710500,62834427956878300,1,22,
91556471008111100,,97199910925710500,13334892949017000,0,22,
80731412772861700,50375556283847300,97199910925710500,,0,22,
80731412772861700,87756845930308700,97199910925710500,,0,22,
80731412772861700,52637899676137200,97199910925710500,,0,22,
80731412772861700,50375556283847300,97199910925710500,,0,22,
80731412772861700,87756845930308700,97199910925710500,,0,22,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
