CE_Address,CE_Address_Postcode,CE_ID,CE_OA,Nature_Of_Establishment,Number_Of_Residents
"85 Yvonne wall, New Paulinehaven",S3 0JG,78219563732639249,E00165461,12,21
"979 Sean circle, East Danny",G8B 4HR,61065415087627140,E00119817,17,45
"5 Natalie canyon, Greenville",W3 8BH,25118211381152857,E00163911,18,15
"Studio 06
Robson plains, Reynoldsview",B7A 3BR,48616447176869751,E00120107,16,33
"0 Malcolm ford, North Leanneburgh",SE7V 3JT,82382309090658582,E00135623,7,29
"Flat 1
Emma highway, East Andrewberg",N2 9XE,81995730636904208,E00119858,7,13
"Flat 10g
Hughes ramp, Brayberg",SL1 2WZ,77690126288794498,E00135759,-7,41
"7 Janet square, North Julianstad",W1 6PU,52256157142986836,E00135530,17,28
"0 Marian trail, East Joanne",LU3Y 6ZU,21021414881034917,E00152513,17,8
"8 Grace lights, New Vanessaville",GU53 4HD,30486939392887245,E00135724,12,49
"80 Deborah harbor, Deniseton",DG29 5PA,74857688521983770,E00165501,19,21
"Studio 3
Joan square, South Oliverport",L7 7ZG,49376063561169196,E00135776,21,48
"7 Declan drive, Lake Charlie",SR91 8QL,36733107730611596,E00163897,19,34
"Studio 4
Christopher heights, New Claire",B3 3HN,71012604504928625,E00135770,18,42
"Flat 24S
Hugh branch, New Craigfort",W17 6GB,12752386801220840,E00152599,9,43
"Flat 4
Grace extension, Lake Jaynefurt",S3 5TL,58685281891080884,E00037396,20,47
"Flat 98
Knight oval, Thompsonhaven",S29 3PA,84423371112326956,E00163860,8,31
"65 Bishop village, North Dianefort",E2 3JZ,96892945278441975,E00164589,17,23
"Studio 8
Warner meadows, Williamsonshire",SW50 7SB,96296171902739748,E00164404,16,49
"849 Douglas manors, East Kathleenview",IV7 5JR,79354941090531722,E00135695,19,16
"77 Paul island, Tracyville",G96 8QY,25204293604165956,E00165644,19,16
"Flat 98
Miah cape, Brettside",CB5B 1HN,84963065607151421,E00135651,15,35
"766 Taylor trafficway, Leahfort",HG8Y 3FD,46271831906701157,E00037237,2,24
"4 Williams ferry, Port Helentown",W6 3FY,71878297335569748,E00037301,17,41
"0 Bethany fork, Buckleychester",L6 6HB,41813203941467355,E00142174,20,33
"Studio 67V
Price ridge, Lake Derekview",G92 9QY,39662445841572151,E00135658,7,19
"Flat 1
Lynne mill, Lake Abdulview",N08 2TJ,76408866201092372,E00135652,-9,35
"49 Palmer hill, Port Suzanne",G67 0XD,24815411482230415,E00135771,21,29
"Studio 95
Clark hill, East Mariefurt",L9 4UF,67426753232762526,E00120147,19,19
"Flat 57
Jackson road, South Louis",IM7V 7DY,26548073354694056,E00164575,22,42
"32 Gordon fords, Jacksonmouth",WV7N 6FW,77844622481392407,E00142121,10,36
"Studio 41
Ashleigh overpass, Payneville",L34 6RD,56075994939242647,E00120002,7,20
"154 Karl glens, Smithstad",NR8N 2DJ,85236253703053933,E00165645,2,32
"Studio 59
Davis crossing, Jonesville",B7 7HN,38050847230715360,E00037198,11,38
"Flat 19
Janet burgs, Louisechester",DE9 5NG,22716067788459139,E00165461,1,31
"Studio 76w
Harris haven, Peterfort",M6A 8EL,71323135952802246,E00037142,12,32
"Studio 44r
Rees meadows, Jillhaven",L3H 4ZH,55074049997046809,E00153524,3,11
"Flat 27
Angela plains, Port Deborahmouth",L2S 2BQ,64389212107995485,E00169651,14,29
"Flat 9
Anne tunnel, East Toby",HP9 0YH,89317608078023740,E00135588,15,25
"4 Gregory spurs, Bethanyburgh",EN1H 4FH,43096267909355480,E00169853,4,42
"838 Mandy station, New Melanieborough",M4G 1PS,99271492106671885,E00165447,19,7
"1 Campbell locks, West Jordanport",PR7 4BF,86313290549766838,E00135785,6,23
"Studio 56g
Stanley rapids, New Shirley",W9B 2WL,76874991602896084,E00153521,11,8
"Studio 0
Harriet extensions, New Bernardfurt",ZE28 2BA,70508292356583355,E00171606,10,12
"89 Kate land, South Margaret",S1S 3RB,75559770853390614,E00135763,18,29
"Flat 27
Smith ford, Fryton",LA0H 5BD,89473461708032384,E00135571,-7,49
"713 Roberts views, North Brenda",LL0P 4SL,69788201182113635,E00120107,16,32
"Flat 74U
Sheila mission, South Franceston",FK62 2PQ,90527537523707489,E00135460,6,44
"Studio 55
Albert lights, Jackchester",LS52 0YZ,88639767449342695,E00164393,5,41
"Studio 35t
Martin land, Frederickbury",L9W 1HA,81457197284547610,E00142059,14,36
"3 Ellie street, East Pamela",CW06 5XL,98635982297254518,E00037194,18,45
"90 Collins parkways, East Danielle",N57 9SR,23761715078285705,E00119842,22,33
"Studio 09o
Gareth valley, Batesborough",NN3X 4QJ,65936712883434884,E00164385,-7,14
"Studio 3
Maria manors, West Josephville",M21 7ES,98871745600412085,E00165493,16,49
"0 Alice passage, Humphreysside",G4 9NT,43189052247095824,E00037240,1,9
"1 Bruce cliffs, Gilbertshire",B10 7TE,24327797915696853,E00120122,10,36
"Flat 85e
Richardson oval, Janestad",M8S 0PA,12475726201237635,E00141250,10,8
"125 Fletcher path, East Jordan",BS2 3NE,16318293090922172,E00142176,-9,38
"43 Denis ford, Sarahville",WC38 3SG,43094489709802035,E00135527,16,22
"59 Georgia point, New Chloeside",TR2V 2RJ,67411088527236609,E00165565,3,46
"Studio 1
Jones lodge, New Lawrenceville",B69 7DR,18900668029357433,E00153638,-7,6
"560 Edward knoll, New Frederick",BH73 9NR,44868288222541941,E00141218,3,20
"Flat 5
Howells causeway, East Oliverburgh",DD3W 6JB,23355482446144454,E00152628,19,19
"Flat 65
Helen roads, West Tracy",YO10 1YX,33176287692361326,E00165654,14,12
"16 Singh green, East Vanessabury",M69 6GE,82642092835698479,E00152682,19,41
"00 Alexander club, Fosterchester",SE6 8WL,40599276257083997,E00153428,6,18
"Studio 84
Joanne lake, New Jonathanmouth",W18 7YU,63490057777021312,E00153392,1,10
"62 Brandon mountains, Joshmouth",LN7W 2QG,22381476495274334,E00165415,13,6
"Studio 72R
Malcolm wells, New Sam",WN73 4DF,90392996152716372,E00135750,14,25
"259 Jonathan mill, Port Kayleighton",EC6X 2BH,38129622416838097,E00153568,3,25
"Studio 86m
Field plains, Port Ritafurt",N7C 1PR,30585347554529298,E00135696,22,16
"Flat 18F
Buckley islands, South Hollie",E33 2GQ,61974077244609109,E00174272,9,21
"Studio 97K
Joan lodge, North Caroletown",HU49 4RY,80862712301591914,E00163963,-9,12
"1 Cox pass, New Joshua",E4K 6JA,18688011945188063,E00037256,12,48
"9 Donnelly stravenue, Karentown",LN71 0TD,63986602571511425,E00135719,20,8
"87 Joan mountains, South Charliefurt",E60 9SF,49780619567492255,E00153429,11,24
"902 Stanley mall, Lake Charlesville",E4H 4QY,24939489307132266,E00153463,-7,34
"8 Michelle plaza, Taylorhaven",L63 9QZ,40906919470402598,E00165592,1,18
"997 Angela springs, West Bethanyport",S27 4TZ,74844899107754382,E00135714,19,28
"Studio 69
Terence station, South Abigailtown",W5W 4SU,10308727222397387,E00153474,10,23
"041 Jones place, Wilkinsonborough",G09 2EB,36961226404806273,E00165591,5,8
"Studio 2
Amanda mount, North Lydia",EX45 0JA,48942644244605893,E00135560,13,20
"24 Bird walks, Lawsonland",CM7B 5EU,17310626087543329,E00164481,17,23
"7 Price mill, New Toby",L9 9UW,95843928466085673,E00120038,2,43
"897 Stevens junctions, South Tracy",M05 1DG,21583052248621366,E00037250,8,28
"Studio 51
Gregory fort, Tomside",DH7 8AZ,78101435440602559,E00165511,17,34
"131 Hill run, New Annaland",G59 1XE,61396708062120709,E00135507,-9,11
"064 O'Brien corner, North Jayview",N12 5TN,69927358650477257,E00120058,13,48
"Studio 83
Hughes terrace, Lake Nathan",B5 7AE,14703143349226670,E00119953,-7,29
"Studio 02k
Alice brook, New Sallyport",L23 0HB,84614414459195438,E00165571,4,6
"Studio 69
Powell crest, South Abigailtown",W6G 5RE,95742479952302494,E00171432,1,34
"537 Hughes mill, Jadehaven",S8H 9FE,99254342408079197,E00153570,9,16
"863 Alison island, South Chloefurt",PH0 2RB,99494604250403904,E00165648,20,27
"9 Hughes river, Port Rogershire",WR8W 2LP,78037637756465657,E00120137,8,27
"5 Brandon manor, Lake Bradleystad",N0H 9HL,15866071244647450,E00119957,7,43
"Flat 20q
Singh island, West Scott",EN26 3LZ,25579680634404815,E00119901,7,21
"Flat 9
Albert underpass, Clarkefurt",BR2H 5RB,73147031131838417,E00165347,5,14
"Flat 85I
Baxter crossing, Lake Sandra",M32 7US,96067096921358518,E00164387,8,36
"Flat 74
Vincent valley, Harrystad",B88 9UE,41665708171466188,E00153521,17,36
"719 Simpson inlet, East Bethport",AL4Y 4LP,98543900654489375,E00172221,3,8
"Studio 10q
Wright island, Leefort",S57 8DQ,87740465924854433,E00152654,14,46
"Studio 1
Steven keys, Port Danielhaven",BR0 9LB,54378691045924303,E00135770,7,45
"Flat 1
Alexander lodge, Bibishire",TF9A 4PQ,96842926202564633,E00164487,8,47
"51 Denise square, New Lukechester",S08 5GR,67810447694215950,E00120058,18,10
"5 Shepherd inlet, New Hilaryview",SS1E 8AH,44181809405052924,E00119874,18,40
"77 Robinson lights, Stephenview",LU3 5GL,83166677805023851,E00135501,-7,18
"646 Dylan ridge, Woodwardside",IP3B 0SN,70037837609583182,E00164552,-9,49
"Studio 6
Clarke throughway, North Declanchester",M4 8GW,37955919923734099,E00135473,16,7
"1 Albert turnpike, Denisehaven",E86 3NL,49026346474650016,E00135638,-9,48
"Studio 8
Charlie green, Lake Nathantown",NW0M 6WG,17023880887920152,E00153524,7,34
"0 Hardy dale, Lake Roy",DD41 5EA,82359386604878304,E00141213,12,15
"Flat 87
Elizabeth coves, Davidsonbury",PE86 6PP,96611234841208918,E00037356,4,13
"5 Sylvia valleys, North Joannehaven",S95 4TB,32721239811952897,E00165433,19,11
"Flat 59I
Lorraine freeway, New Rosemarymouth",PO7M 9LD,94580093978618721,E00165577,-9,21
"587 Glen hills, West James",B14 5LT,58916081809917129,E00037156,2,40
"Studio 63
James port, Ashleighhaven",M4 0UW,17655462367468104,E00120030,16,24
"934 Harris wells, Hargreavesside",HX3B 4ZG,91834028976496759,E00164536,6,32
"2 Robert summit, East Adrian",L2 0QT,61229825196123530,E00164585,13,22
"Studio 1
Eleanor divide, New Mariaville",KW3W 3RL,97942070663428151,E00037162,14,7
"Studio 8
Gemma manors, North Deanmouth",SP3 5LN,91182472776821384,E00135407,21,23
"064 Toby crossroad, Vincentshire",NG94 7XD,68695439482631038,E00120038,8,39
"709 Green locks, New Margaretfort",W8 4AL,69663788726570083,E00120048,8,15
"Flat 54Y
Evans run, Edwardsmouth",CR1A 8FT,61765014049925425,E00164476,8,41
"Studio 10S
Ben mountains, Rickyfort",DE09 8HN,12446318788520234,E00165619,22,45
"627 Catherine brooks, South Douglasbury",RG9 5YQ,64124374905520450,E00165658,4,30
"1 Jacob ville, New Christinemouth",CV09 1LN,85009673639639200,E00120050,19,7
"Studio 79O
Debra street, Lake Christianport",N65 9QS,20594326727768238,E00135566,10,14
"Studio 4
Price keys, South Katy",IG7 6QB,83483507004960105,E00164620,19,33
"266 Robinson green, Guyview",M6 1BH,71468796024061809,E00153411,14,17
"Studio 12
Louis ferry, Whiteheadberg",L2T 5TG,23125197092633325,E00120090,10,15
"Flat 8
Davis mall, Lake Natasha",N6W 6PQ,53595226754877885,E00135715,12,39
"861 Rogers knolls, Samanthaburgh",BB68 8BX,21066293561215731,E00141260,19,7
"Flat 87a
Hunt points, Simmonsfurt",S6T 7HA,73399189649624800,E00172230,8,26
"Flat 9
Turner ports, Kayleighburgh",TQ80 9QS,42528818731092630,E00135571,11,15
"Studio 65
Stanley unions, Lake Alexandraburgh",DD08 2WE,15046460035264771,E00165358,16,16
"44 Kirsty rapids, Iainburgh",TF2 2GS,58724650091280090,E00165424,1,15
"Studio 28g
Davey meadows, New Mollyfort",G3 2AW,93310778482338139,E00037158,17,36
"82 Watson plaza, Wilsonfurt",B0 9BT,37650728457092119,E00153393,20,45
"Flat 5
Barnes drive, South Leighport",B7S 6BG,55983768549892362,E00152535,1,30
"437 Evans hills, Aimeeport",WD52 8AG,99573542181093385,E00173923,15,25
"932 Field wall, Lake Nigel",EH73 2HP,98554672535094487,E00164556,6,40
"26 Shirley spur, Kellyland",SA7B 5XG,28004992750070360,E00120049,18,13
"2 Wendy corners, New Janice",W3 2HF,39585029040836242,E00135576,9,45
"Studio 5
Adrian squares, Port Brandonmouth",KT89 5EF,96923316846440894,E00164390,18,34
"Studio 52
Butler parkways, Port Joycetown",B3S 1WH,23094177318661828,E00153406,8,28
"Flat 26o
Nigel avenue, North Mollystad",L6B 3HU,83601302147358563,E00169671,15,47
"Studio 8
Thomas rapids, Jasminemouth",G6H 8GG,99886227899580538,E00170115,7,13
"Flat 39
Houghton roads, Elainechester",N86 5LA,27186026665969897,E00152564,11,10
"Flat 0
Katie cove, Storeyland",S89 0WQ,92899691954890796,E00171436,16,22
"Flat 23
Hilary mountains, South Andrewmouth",DY4 2ZG,18235680794087105,E00037299,10,24
"27 Dixon fork, South Martynberg",BN01 1NQ,42805849850086648,E00153410,20,47
"Studio 3
Rebecca wells, Christopherburgh",CB5 5XN,41284586063511700,E00037249,8,16
"Flat 5
Stevens cliffs, Daviestown",KW9 9YA,95715727120707344,E00142225,5,40
"Studio 30L
Mistry walk, South Kerryville",B5 4NR,63359611649753858,E00135460,11,43
"131 Horton keys, New Charlotte",SY96 9LN,68463635849152233,E00037146,22,35
"625 Bruce prairie, West Karlburgh",BR2 7TX,50535767686039851,E00164040,8,22
"Flat 38p
Arnold trace, Karlmouth",IP98 4WP,32278592333424703,E00120074,17,22
"Flat 96
Bryant plains, Lake Emilyville",N2A 6NE,55389834442838288,E00135576,6,11
"7 Tom spurs, East Garyside",B85 7PT,14265209717542822,E00037304,14,8
"29 Warren land, West Kevinberg",EH7Y 3AD,35123099347216651,E00153513,21,31
"7 Parry mall, Philipton",NN74 8AX,60324966518115635,E00135524,17,46
"32 Cameron branch, Katieville",N04 5WE,20823450115981838,E00152571,18,32
"596 Craig flats, Colehaven",G0 7BF,66990034734028179,E00164528,17,21
"7 Johnson shoals, Laurenport",M51 8SG,87429461506542055,E00153415,10,36
"78 Cooper ways, Lake Rogerfort",L4 0BD,70928836026153451,E00120070,18,33
"48 Evans inlet, Kylebury",HP5 5DW,85543419781942164,E00153722,12,22
"902 Robert pass, South Lydia",WV3 1PX,50421647996643761,E00153412,16,21
"Studio 68D
Mathew junctions, Edwardsberg",GU50 9AJ,72012933629378275,E00163861,20,17
"Studio 62
Judith forge, Holliestad",S4B 6AE,63392328518872034,E00153472,5,11
"Flat 47
Deborah grove, North Howard",N7 7YD,72298483258326834,E00169656,7,21
"593 Rogers throughway, North Jacobhaven",CW3 9PT,94820020369704972,E00165602,13,11
"8 Holly mill, Port Emilyburgh",SW0E 0DB,40430621813806549,E00135787,-9,37
"382 Mandy mountain, Nicholasside",E5H 1JH,74314514027839590,E00141204,11,23
"7 Arthur highway, Lake Janice",RM08 3ZG,22683779374281683,E00165363,-9,15
"088 Derek overpass, East Victor",E6G 7RP,77054306156049418,E00119922,20,6
"85 Adrian square, West Lucy",HA2E 2ZB,50243301320635812,E00152528,18,31
"81 Stephens mission, Donaldfort",E9 1DQ,54664442923538950,E00169656,8,31
"Flat 92
Goddard underpass, Dianaborough",EX6 7ZL,85995465196716499,E00165355,5,46
"653 Slater point, South Francistown",S6C 2SQ,99784666122430001,E00120045,8,30
"896 Jake cliffs, East Joelchester",E5F 4RN,51393907478990638,E00169669,4,41
"Flat 98o
Whitehouse point, Smithport",KT1 6QF,16927167592528907,E00171613,20,40
"Flat 4
Adam dale, Woodwardstad",OX7V 0WE,26742637604087645,E00164119,20,21
"Flat 01
Charles expressway, Granttown",SY33 6QG,46259022596895817,E00163858,2,44
"591 Wright turnpike, East Chloe",G5D 0RN,98289907030385948,E00165396,4,48
"2 Ward circle, Port Janeberg",WC3H 4DD,46089244867667548,E00120172,4,22
"Flat 6
Douglas radial, Pagetown",W26 0GU,38411824649865647,E00152509,16,25
"Studio 25R
Joel via, East Marc",WS2 4PJ,41841871046507083,E00120058,8,34
"219 Lucas station, Evansfurt",BL3 1PA,59014884848175627,E00171594,1,28
"4 Terry hills, East Amanda",B3 9LN,26676919271868605,E00135444,4,28
"Studio 4
Barton streets, Bethanychester",AL3W 5GH,82002331204604831,E00135797,12,15
"959 George shoals, Lynchborough",NP9R 1LF,17941118274720785,E00037247,7,37
"Studio 11i
Begum stream, North Annetteberg",PA08 7JS,94192711291157517,E00169854,4,33
"Flat 33
Rees freeway, Powellview",EH69 9SE,20007232070786226,E00037094,1,14
"7 Mohammed freeway, Owenshire",W2F 3GH,68845537811058269,E00135450,18,20
"04 Smith islands, Edwardsfurt",BA4M 5UA,10206872961332323,E00152499,19,30
"Flat 97c
Tina flats, Porterstad",E2U 2TW,65082115625318805,E00135717,14,35
"Studio 7
Josephine ridge, East Grace",S5 6ZY,67558014989044499,E00164615,12,37
"288 James trafficway, Natalieberg",L72 1EL,69716169193788597,E00135818,-9,17
"434 Peters creek, New Garethchester",OX47 4YH,43804234966259853,E00164519,3,9
"00 Harris passage, Ritaville",M39 4ZZ,65265215391231147,E00119867,16,32
"94 Shaun vista, North Sallychester",B28 0AP,69741211846230961,E00037288,21,45
"Studio 7
Oliver hills, Port Frank",CT1B 4TT,94942538344318886,E00037139,1,18
"8 Declan junction, Julianfurt",NG5 4FU,57430543740541312,E00164595,3,20
"672 Mandy garden, North Margaretborough",WF9W 6YU,70067683267668277,E00152566,19,40
"73 Page lake, South Olivertown",M2 9JP,38551134707004351,E00135655,-7,21
"667 Karen stream, Murphymouth",SA2Y 9GP,52224062143574410,E00165450,7,30
"Studio 03r
Rosemary tunnel, Lake Scott",L7C 4RN,61913141581980786,E00135502,3,46
"3 Griffiths squares, Jeffreyfort",SR38 1WP,71554741335319860,E00152674,21,49
"775 Francis throughway, South Katiestad",G8J 0GP,84437480916803382,E00135543,7,30
"Studio 3
Lydia groves, Simonmouth",L4U 8LA,38193118245696704,E00119828,9,30
"Flat 3
Vanessa stream, North Geraldfort",B5B 9NQ,58455966436565943,E00142055,-9,9
"08 Tony rapid, Brendaborough",BR2B 6QL,77525037096796000,E00165653,7,30
"Studio 73A
Cooper vista, Lake Kellyburgh",E2U 6UN,73760455584417667,E00169670,7,17
"4 Leach villages, Benjaminville",S7 4PH,92461944263220224,E00135486,4,16
"33 Toby highway, East Terencemouth",S8 6XP,70051953457309452,E00164378,11,29
"Studio 26B
Gibson isle, Lake Kieran",LU8 9RQ,97756991681933521,E00135678,16,21
"663 Henry street, South Stewartport",SO7 0BR,42921243544589126,E00163910,2,38
"Flat 0
Hanson ferry, Gilbertton",L4 0ZA,15096038874275321,E00119993,5,29
"Flat 9
Cheryl rapids, Hussainmouth",G46 1SP,56627644473253627,E00135623,14,11
"Flat 88z
James tunnel, South Wayne",S3 2BE,51064321000847585,E00119867,6,49
"Flat 68
Allen manor, Warnerburgh",M54 0PL,12563405150312000,E00165614,16,21
"002 Bruce station, Sharonmouth",SE5V 3RD,88056432607807028,E00153568,14,45
"009 Marilyn corners, Dorothyview",OX7E 9SZ,34137761768099659,E00141207,6,9
"839 Patel lodge, Mortonchester",L94 7NT,67425791328470497,E00164118,15,38
"Flat 10
Rosemary parkway, South Keithside",L82 9WD,61198765049333960,E00153722,7,15
"Studio 75R
Day extensions, North Dalechester",IV4 8ZE,45354565334521713,E00120009,21,19
"Studio 2
Cook trafficway, West Carol",W0 1FR,55194041784272350,E00141212,8,12
"9 Hayward stream, North Stacey",HD6 4ND,80430701372714960,E00153524,20,24
"1 Ross radial, East James",PR3M 5FB,18730630693350166,E00165735,19,9
"Flat 7
Smith inlet, New Georgebury",S9 6TR,15656501344137384,E00153424,-7,45
"8 Hill meadows, Liamchester",S7 2TE,44037301265522415,E00135671,-7,8
"Studio 14
Cox hills, Thompsonview",WS20 6SN,53675635670026857,E00152616,22,33
"Studio 22
Allan walks, South Juliefort",SS7B 7SP,12729370867101516,E00153671,3,25
"Flat 43h
Leonard expressway, Bradleymouth",E4S 6JS,31641858877609288,E00164626,18,28
"Studio 5
White road, Lake Kirsty",G8 5DX,11526707415528343,E00141214,21,22
"Studio 38X
Lawson creek, Lake Dale",L9D 1BQ,48545935436930843,E00152677,22,40
"Flat 32
Woods views, Colinview",E77 1GF,98726747225672164,E00119878,19,30
"483 Marilyn pines, Richardsstad",E6D 3BR,33913233711041136,E00165467,18,15
"Flat 99
Joanna ports, Kathrynfort",LS19 1JL,44063827763508641,E00135601,16,11
"595 King mission, New Ashleightown",M02 6QB,67588756899318189,E00153634,16,24
"Flat 32
Barker heights, West Sam",CB6E 2ZH,34920609107343726,E00164414,17,37
"Studio 38
Gillian plaza, Port June",SR3 2HU,65553653321478590,E00135645,15,9
"Flat 97L
Harris route, Dennisfort",MK5P 0LE,39665334599750804,E00165476,12,13
"Flat 1
Maurice forge, Rogerside",M5 0LL,48530572526224213,E00164530,10,36
"6 Natalie parkway, Sandraside",W3U 4UU,61371877782558471,E00037361,3,47
"Studio 5
Emily club, Jonathanfurt",TS9 2FE,19565663489893963,E00153637,14,28
"Flat 1
Terry shoal, New Diane",HA6M 5GQ,38554404168122557,E00119924,8,48
"3 Evans street, East Mandy",N9S 3RY,91134018936323823,E00135429,7,10
"Studio 39r
Bethan ferry, Malcolmville",CR69 2PQ,15861830789958299,E00164066,18,8
"Studio 3
Natasha squares, North Eileenfurt",NG89 2AL,60974528007364160,E00163955,4,19
"070 Mitchell court, Lake Maureenburgh",SM4 4AE,92464143309564333,E00135840,13,7
"33 Robson greens, Raymondberg",N88 3TZ,15861280444215874,E00119869,13,36
"Studio 5
Sylvia key, Jodieland",B73 5EJ,22417603759583781,E00120070,9,47
"Studio 2
Carter ports, East Fiona",AL58 4HZ,30267045863121781,E00169850,11,12
"536 Lynn isle, Lake Rebeccaland",S2 6QT,12984264420858902,E00142024,22,13
"05 Turner landing, Port Debratown",KA6 9JL,61350624013705745,E00164491,7,35
"Flat 99C
Connolly row, Alexview",CR4 3HW,24231051856928882,E00119820,16,13
"Studio 62
Kelly court, Lisahaven",N02 6FN,28540312537425704,E00164415,8,15
"Flat 0
Bethany meadows, Collinsbury",N15 1HY,50269231092794251,E00119974,15,16
"Studio 5
Derek villages, Irenemouth",NE5 4UQ,29250711834902791,E00164414,3,14
"Flat 7
Jeffrey ridges, Simpsonmouth",JE1 3ZN,77820195797346457,E00153522,22,33
"Studio 50y
Lloyd mount, North Howardport",TR08 4AE,70393288266570826,E00142073,4,15
"Studio 0
Hooper junctions, Griffintown",E2A 8SR,66926178276711781,E00119927,10,13
"66 Kirk inlet, Hudsonland",N1D 9YP,11074435595216577,E00037154,5,41
"78 Ben rue, Lake Chloeburgh",ME5 8GA,92553865529206305,E00153427,11,33
"Studio 53
Robinson locks, Jayneton",SA82 2DW,94957683515418198,E00153577,4,33
"Studio 4
Kennedy branch, East Joanneberg",N5 9BZ,54357617438958581,E00165388,18,13
"Flat 72
Ashton forge, Mistrymouth",S9 2HF,76088057383908965,E00135474,19,47
"304 Gregory light, South Catherinefort",G01 3YU,52509284169966730,E00153423,12,45
"14 Ashleigh ville, Port Josh",DN9V 6WJ,40305404906391339,E00120075,-7,34
"540 Saunders lodge, Reynoldsmouth",NG81 8LB,88747776965260322,E00037360,20,25
"Studio 5
Kayleigh forest, Mitchellhaven",CO5 8SL,80590339362683203,E00163851,20,10
"Flat 41
Smith path, Westton",E66 3DS,60213321121927695,E00165476,17,46
"434 Stephenson drive, Russellside",L9U 6YA,90117862994944245,E00119784,3,10
"55 Lucy row, East Janiceburgh",DT88 6PY,64640554776892027,E00135459,18,39
"36 Josh union, Davisonfort",W9F 5TG,18530621377707507,E00120091,1,30
"Flat 4
Julian avenue, New Malcolmville",HR7Y 8XZ,23775648928481599,E00153718,10,38
"Studio 26f
Marsden grove, South Hannah",BS34 2ZR,72507698042946814,E00153718,9,19
"611 French rest, North Melissamouth",B32 9XD,74816597389233543,E00135732,3,17
"1 Willis villages, New Marc",S3 8FZ,42588359119044017,E00119970,-7,40
"Flat 75g
David isle, Harveyfort",SN98 5ES,53050066656290833,E00135606,14,16
"88 Farrell summit, Wrightstad",S8D 0AP,12457077033260286,E00119791,-7,49
"Flat 3
Crawford vista, Haywardstad",M36 8PF,17029396837262616,E00141217,20,39
"Studio 84
Kathryn falls, Lake Kevin",PH83 7UP,65534887725946473,E00135416,22,29
"Flat 8
Bibi light, Port Joyceside",NN47 2YY,84220180978069243,E00165602,4,40
"1 Hunt greens, Palmerton",IG7B 3LB,67245141116279337,E00135758,5,34
"Flat 18
Lucy ports, New Kelly",TR11 3LD,56258876780733416,E00037351,18,37
