HH_ID_CEN,HH_ID_CCS,CCS_address_type,cluster_number,,,,,,
h36788878321559402,h28136087736726544,h,147,,,,,,
h67594523046634556,h53621248593246524,h,148,,,,,,
h90741769287871378,h66823085187873256,h,150,,,,,,
h30287309113883299,h41085938907107157,h,151,,,,,,
h25561290929951812,h64039990670447309,h,152,,,,,,
h36482819329273924,h98722682678187760,h,153,,,,,,
h67938786156301588,h93384424443978270,h,154,,,,,,
h86852254091805169,h12013267747182606,h,155,,,,,,
h60632814501344797,h56323237674794813,h,156,,,,,,
h77232227440123214,h97775951864797737,h,157,,,,,,
h79100896598652757,h47817649150001592,h,158,,,,,,
h84696283257936958,h64414170049019245,h,159,,,,,,
h16537244642530654,h99555329543265476,h,161,,,,,,
h25552481027416752,h37448935172397151,h,162,,,,,,
h24971254996948576,h21199399019097979,h,163,,,,,,
h20025251176777877,h22711027499163175,h,164,,,,,,
h38056524024828369,h71572553827279754,h,165,,,,,,
h18794842860504873,h64943978345126356,h,166,,,,,,
h34570742574064427,h75272787758381500,h,168,,,,,,
h25069367650549807,h23505949376458615,h,169,,,,,,
h55506806649935588,h33684482912220709,h,170,,,,,,
h88347724796787143,h44434726564540212,h,171,,,,,,
h31580812269642990,h16892304606354753,h,172,,,,,,
h76796473951184517,h25313045884598147,h,173,,,,,,
h38581377810537497,h58188096348129948,h,174,,,,,,
h18648598271645023,h50829234054264283,h,175,,,,,,
h46338199967635294,h45290624161529196,h,176,,,,,,
h79457479071687796,h55115200609262195,h,177,,,,,,
h40567680610550947,h84218944752914425,h,179,,,,,,
h31399776903732795,h84860616855598981,h,180,,,,,,
h87335851810400255,h92377897983065135,h,181,,,,,,
h30933239229808868,h55096986978403321,h,183,,,,,,
h81692708461818403,h48019665899906826,h,184,,,,,,
h97862358379527882,h11358089468223475,h,185,,,,,,
h47441892946475279,h89575814876955240,h,186,,,,,,
h85921998759964794,h53677051106349510,h,187,,,,,,
h42933335399754157,h64013879347053841,h,191,,,,,,
h55835939199340164,h17056322263025471,h,192,,,,,,
h41313775993449344,h58965946897092319,h,193,,,,,,
h76812649033599074,h19550787365560402,h,195,,,,,,
h97563821162096696,h10031932797659517,h,196,,,,,,
h48842218827244192,h71177570918149055,h,197,,,,,,
h52588630074861838,h25417448820398137,h,198,,,,,,
h13178835273747249,h50872628419132631,h,199,,,,,,
h81768755893609472,h36689040878445071,h,200,,,,,,
h24934431090844248,h78104459145787168,h,202,,,,,,
h92680055759824143,h15395129740629108,h,203,,,,,,
h87825502708380024,h40151144824804247,h,204,,,,,,
h59766905418556511,h67438935437218866,h,205,,,,,,
h92214041453138900,h69035617883461095,h,207,,,,,,
h76924496696880436,h57929590607338512,h,208,,,,,,
h37456129091880409,h43283089781546769,h,209,,,,,,
h59386465113881546,h31031850051028037,h,210,,,,,,
h29287048958327241,h43537318645806372,h,212,,,,,,
h13213461472048202,h40193303154384770,h,213,,,,,,
h90755855368186117,h70329184466672602,h,214,,,,,,
h82079486218570379,h15259705292998412,h,215,,,,,,
h56672091867892616,h77597284949581936,h,216,,,,,,
h66890081716260912,h50096269399045170,h,217,,,,,,
h31027569602376384,h28889639504734181,h,218,,,,,,
h14602846878503638,h49129981484690656,h,220,,,,,,
h29932391218121474,h61104156032708249,h,221,,,,,,
h46526794207769357,h16136044186060956,h,222,,,,,,
h84461986023506129,h48208631984435797,h,223,,,,,,
h92341633342108135,h84001098143828263,h,224,,,,,,
h90191194349103887,h83760860601120242,h,225,,,,,,
h47987514874190581,h83356199149210881,h,226,,,,,,
h42387336929491805,h36042940823517990,h,227,,,,,,
h42026240015090194,h19627015630177438,h,229,,,,,,
h11687085563176686,h35646278432491426,h,230,,,,,,
h20134814360760337,h22680904048723960,h,231,,,,,,
h21868820840526588,h64579653972925210,h,232,,,,,,
h15378063746866538,h80962978158021069,h,233,,,,,,
h76050227334962422,h74586643910925057,h,234,,,,,,
h42793899847967384,h84465283581539099,h,235,,,,,,
h25290368814985762,h32910350738027129,h,236,,,,,,
h18624950887441146,h42079314921934056,h,237,,,,,,
h91359597506250431,h45842372933925193,h,238,,,,,,
h64105571121973092,h75524161217738871,h,239,,,,,,
h92190208052733111,h58304924965555663,h,241,,,,,,
h37563142444066168,h86713369869058058,h,242,,,,,,
h65464617899705078,h15274936740335045,h,243,,,,,,
h73942906371411804,h95861175229693173,h,244,,,,,,
h89649491428186638,h11049809959925501,h,245,,,,,,
h72831875795077171,h72562476697683978,h,246,,,,,,
h78732373943361476,h54294749998760302,h,248,,,,,,
h32702905560839102,h57330668083595737,h,249,,,,,,
h24211798408051132,h74152130532451200,h,250,,,,,,
h42756147217373854,h41410875805849893,h,252,,,,,,
h81203645736582823,h56357095231514394,h,253,,,,,,
h84922731538005471,h46536169207518934,h,254,,,,,,
h49326982563773418,h36856003726660643,h,255,,,,,,
h40535349909725474,h59905895608932343,h,257,,,,,,
h65383983070267943,h36192221720478817,h,258,,,,,,
h92640642159656066,h10852515420417185,h,259,,,,,,
h65548388336760676,h94404820855438127,h,261,,,,,,
h78888509032726740,h45227815827131414,h,263,,,,,,
h95753817780262250,h78766166203020152,h,264,,,,,,
h29777304110223526,h58244683613290421,h,265,,,,,,
h50236476942954773,h38026537454392434,h,266,,,,,,
h58795838483990550,h13112023699525194,h,269,,,,,,
h72528804202834389,h43244829224433741,h,271,,,,,,
h11732904455974609,h15472595286960833,h,272,,,,,,
h28066835915968392,h24979453517445869,h,273,,,,,,
h23612104564378903,h79886982128815515,h,274,,,,,,
h47211790288665536,h92473049869265510,h,275,,,,,,
h38784196437607109,h39012350470508253,h,276,,,,,,
h95875571707673928,h66018059360583611,h,277,,,,,,
h64592819798817020,h49996542134519614,h,279,,,,,,
h49716822833174097,h88691762312132335,h,280,,,,,,
h66225686333886710,h81384741625002542,h,281,,,,,,
h74377242660505364,h43610100105179323,h,282,,,,,,
h45888396017225249,h82224519920771763,h,283,,,,,,
h12591282017852233,h61046400233629034,h,284,,,,,,
h25682230468898896,h73076448289656167,h,285,,,,,,
h73962718703543060,h79468780666772033,h,287,,,,,,
h70209050052726410,h56554763815956223,h,288,,,,,,
h36191467411929911,h93730429095321334,h,289,,,,,,
h77110877869176786,h16346198987540709,h,290,,,,,,
h94066698527554086,h11806205033095134,h,291,,,,,,
h45042391663684378,h62131745190449910,h,292,,,,,,
h74741823052967931,h94255281057120600,h,293,,,,,,
h81996200381207202,h47238119764940414,h,294,,,,,,
h21919567978033643,h89191201161869302,h,295,,,,,,
h47646937167802111,h33090538239035586,h,296,,,,,,
h59414584488171215,h75589416885699079,h,298,,,,,,
h30724670565114878,h50318489679009754,h,299,,,,,,
h85720635280792869,h66159563937768645,h,300,,,,,,
h50363663408730569,h30700877612910417,h,301,,,,,,
h32399956077476574,h85753020618136277,h,303,,,,,,
h52888323178419994,h66240332453234493,h,304,,,,,,
h95744622346584933,h66104077011107923,h,306,,,,,,
h49330060259234477,h46115780492757126,h,307,,,,,,
h63496707953511699,h44116921999825734,h,309,,,,,,
h37417212373191088,h72430660365781355,h,310,,,,,,
h33403385655387257,h12083590007744972,h,311,,,,,,
h23082778415884475,h17655451873091505,h,313,,,,,,
h26762681691827873,h51746044698278446,h,315,,,,,,
h51941903653996170,h94099688630205783,h,316,,,,,,
h33891548846476564,h95763678690781293,h,317,,,,,,
h24104607272461050,h26072874067837455,h,318,,,,,,
h68234403815648378,h35612367224364826,h,319,,,,,,
h30240790835208556,h51012241258252054,h,320,,,,,,
h77482097391342001,h78219032369952133,h,321,,,,,,
h87321178558390445,h61825822744418740,h,323,,,,,,
h44473731133932543,h88427901828655093,h,324,,,,,,
h24558635496801296,h79536163312391871,h,325,,,,,,
h53433654377640749,h58642803495866372,h,326,,,,,,
h87576569053174424,h70076985740579611,h,327,,,,,,
h85495559906075427,h64923163611836268,h,328,,,,,,
h38495415116668896,h56844268624718736,h,329,,,,,,
h79750902584903091,h95043349891848437,h,330,,,,,,
h44859041926439171,h99628582374295467,h,331,,,,,,
h26890335738097777,h62775685928493083,h,333,,,,,,
h52869410119283463,h14249697101545665,h,334,,,,,,
h19646046945286353,h80632324049189669,h,335,,,,,,
h52628844341207771,h32720061128499202,h,337,,,,,,
h83105336544453547,h97721095225795900,h,339,,,,,,
h93624493645501223,h93701973894219130,h,340,,,,,,
h64322713803605585,h78703610665130046,h,341,,,,,,
h87082706750481825,h29572865236595237,h,342,,,,,,
h12358206234951931,h98245569784085180,h,343,,,,,,
h94494862145474747,h21964441291143604,h,344,,,,,,
h11159806743257807,h17442994490738749,h,345,,,,,,
h37970490069394630,h71536397089124455,h,346,,,,,,
h37758635433658942,h60187067147699788,h,347,,,,,,
h54036686162017225,h36034296056638039,h,348,,,,,,
h72984924219703725,h37707523977775212,h,349,,,,,,
h35263704640299196,h10661248891983785,h,350,,,,,,
h33297542688073148,h53001034647696077,h,352,,,,,,
h41098296697881643,h50391894054138792,h,353,,,,,,
h79140279132672926,h41758350109531528,h,354,,,,,,
h70112190847992571,h32080168003504768,h,355,,,,,,
h91753843416704190,h96654290562881669,h,356,,,,,,
