ID_CEN,ID_CCS,cluster_number
h31580812269642990,h16892304606354753,172
h76796473951184517,h25313045884598147,173
h38581377810537497,h58188096348129948,174
h18648598271645023,h50829234054264283,175
h46338199967635294,h45290624161529196,176
h79457479071687796,h55115200609262195,177
h24471357557852669,h71811002873874309,178
h40567680610550947,h84218944752914425,179
h31399776903732795,h84860616855598981,180
h87335851810400255,h92377897983065135,181
h73712914847883415,h47184108187316883,182
h30933239229808868,h55096986978403321,183
h81692708461818403,h48019665899906826,184
h97862358379527882,h11358089468223475,185
h47441892946475279,h89575814876955240,186
h85921998759964794,h53677051106349510,187
h87595083247573476,h68424719519267354,188
h40438013408706350,h32675470594548465,189
h12180285982439753,h71791597659803173,190
h42933335399754157,h64013879347053841,191
h55835939199340164,h17056322263025471,192
h41313775993449344,h58965946897092319,193
h41385747497975086,h11249931710662414,194
h76812649033599074,h19550787365560402,195
h97563821162096696,h10031932797659517,196
h48842218827244192,h71177570918149055,197
h52588630074861838,h25417448820398137,198
h13178835273747249,h50872628419132631,199
h81768755893609472,h36689040878445071,200
h97223465990994801,h18789333928354268,201
h24934431090844248,h78104459145787168,202
h92680055759824143,h15395129740629108,203
h87825502708380024,h40151144824804247,204
h59766905418556511,h67438935437218866,205
h20868081769505747,h35145349372840678,206
h92214041453138900,h69035617883461095,207
h76924496696880436,h57929590607338512,208
h37456129091880409,h43283089781546769,209
h59386465113881546,h31031850051028037,210
h28931067247054920,h38337221414942384,211
h29287048958327241,h43537318645806372,212
h13213461472048202,h40193303154384770,213
h90755855368186117,h70329184466672602,214
h82079486218570379,h15259705292998412,215
h56672091867892616,h77597284949581936,216
h66890081716260912,h50096269399045170,217
h31027569602376384,h28889639504734181,218
h68694003644918561,h48287519275142779,219
h14602846878503638,h49129981484690656,220
h29932391218121474,h61104156032708249,221
h46526794207769357,h16136044186060956,222
h84461986023506129,h48208631984435797,223
h92341633342108135,h84001098143828263,224
h90191194349103887,h83760860601120242,225
h47987514874190581,h83356199149210881,226
h42387336929491805,h36042940823517990,227
h20185320506702986,h81523401069216361,228
h42026240015090194,h19627015630177438,229
h11687085563176686,h35646278432491426,230
h20134814360760337,h22680904048723960,231
h21868820840526588,h64579653972925210,232
h15378063746866538,h80962978158021069,233
h76050227334962422,h74586643910925057,234
h42793899847967384,h84465283581539099,235
h25290368814985762,h32910350738027129,236
h18624950887441146,h42079314921934056,237
h91359597506250431,h45842372933925193,238
h64105571121973092,h75524161217738871,239
h34879389128725344,h17529587641257302,240
h92190208052733111,h58304924965555663,241
h37563142444066168,h86713369869058058,242
h65464617899705078,h15274936740335045,243
h73942906371411804,h95861175229693173,244
h89649491428186638,h11049809959925501,245
h72831875795077171,h72562476697683978,246
h68967373330482287,h78318321761777786,247
h78732373943361476,h54294749998760302,248
h32702905560839102,h57330668083595737,249
h24211798408051132,h74152130532451200,250
h99048975485476050,h45913460306021968,251
h42756147217373854,h41410875805849893,252
h81203645736582823,h56357095231514394,253
h84922731538005471,h46536169207518934,254
h49326982563773418,h36856003726660643,255
h38234375958441365,h47278279031929309,256
h40535349909725474,h59905895608932343,257
h65383983070267943,h36192221720478817,258
h92640642159656066,h10852515420417185,259
h52474726975494135,h72342849847277387,260
h65548388336760676,h94404820855438127,261
h51269586299306535,h70705023702378064,262
h78888509032726740,h45227815827131414,263
h95753817780262250,h78766166203020152,264
h29777304110223526,h58244683613290421,265
h50236476942954773,h38026537454392434,266
h27623410848732904,h37491782473509333,267
h90697381146854505,h10403158139328511,268
h58795838483990550,h13112023699525194,269
h32801590637472953,h14488781036250873,270
h72528804202834389,h43244829224433741,271
h11732904455974609,h15472595286960833,272
h28066835915968392,h24979453517445869,273
h23612104564378903,h79886982128815515,274
h47211790288665536,h92473049869265510,275
h38784196437607109,h39012350470508253,276
h95875571707673928,h66018059360583611,277
h39748847869661626,h76472507026709320,278
h64592819798817020,h49996542134519614,279
h49716822833174097,h88691762312132335,280
h66225686333886710,h81384741625002542,281
h74377242660505364,h43610100105179323,282
h45888396017225249,h82224519920771763,283
h12591282017852233,h61046400233629034,284
h25682230468898896,h73076448289656167,285
h82458983736449089,h51152327826442910,286
h73962718703543060,h79468780666772033,287
h70209050052726410,h56554763815956223,288
h36191467411929911,h93730429095321334,289
h77110877869176786,h16346198987540709,290
h94066698527554086,h11806205033095134,291
h45042391663684378,h62131745190449910,292
h74741823052967931,h94255281057120600,293
h81996200381207202,h47238119764940414,294
h21919567978033643,h89191201161869302,295
h47646937167802111,h33090538239035586,296
h86595887704310798,h46535766178369244,297
h59414584488171215,h75589416885699079,298
h30724670565114878,h50318489679009754,299
h85720635280792869,h66159563937768645,300
h50363663408730569,h30700877612910417,301
h11226251085336086,h52416157232680486,302
h32399956077476574,h85753020618136277,303
h52888323178419994,h66240332453234493,304
h63889879467059006,h22692027515697831,305
h95744622346584933,h66104077011107923,306
h49330060259234477,h46115780492757126,307
h38062906971979433,h62807654510073000,308
h63496707953511699,h44116921999825734,309
h37417212373191088,h72430660365781355,310
h33403385655387257,h12083590007744972,311
h81506376527398573,h81592038284162549,312
h23082778415884475,h17655451873091505,313
h25332623458211060,h18741689417971560,314
h26762681691827873,h51746044698278446,315
h51941903653996170,h94099688630205783,316
h33891548846476564,h95763678690781293,317
h24104607272461050,h26072874067837455,318
h68234403815648378,h35612367224364826,319
h30240790835208556,h51012241258252054,320
h77482097391342001,h78219032369952133,321
h91991977964413315,h45935818200501801,322
h87321178558390445,h61825822744418740,323
h44473731133932543,h88427901828655093,324
h24558635496801296,h79536163312391871,325
h53433654377640749,h58642803495866372,326
h87576569053174424,h70076985740579611,327
h85495559906075427,h64923163611836268,328
h38495415116668896,h56844268624718736,329
h79750902584903091,h95043349891848437,330
h44859041926439171,h99628582374295467,331
h23465690842126908,h37820048364994321,332
h26890335738097777,h62775685928493083,333
h52869410119283463,h14249697101545665,334
h19646046945286353,h80632324049189669,335
h33545559109776985,h35310339854095045,336
h52628844341207771,h32720061128499202,337
h93877936269266438,h47185691850202810,338
h83105336544453547,h97721095225795900,339
h93624493645501223,h93701973894219130,340
h64322713803605585,h78703610665130046,341
h87082706750481825,h29572865236595237,342
h12358206234951931,h98245569784085180,343
h94494862145474747,h21964441291143604,344
h11159806743257807,h17442994490738749,345
h37970490069394630,h71536397089124455,346
h37758635433658942,h60187067147699788,347
h54036686162017225,h36034296056638039,348
h72984924219703725,h37707523977775212,349
h35263704640299196,h10661248891983785,350
h14996137463457536,h81607797274535309,351
h33297542688073148,h53001034647696077,352
h41098296697881643,h50391894054138792,353
h79140279132672926,h41758350109531528,354
h70112190847992571,h32080168003504768,355
h91753843416704190,h96654290562881669,356
h64732326294238196,h52876924493330415,357
h26174873305823039,h40829876280088150,358
h68311244709971501,h67021887737213270,359
h96831950795270165,h13652371594005427,360
h25298626544110785,h65684175751713958,361
h30377824488688431,h31571569438608156,362
h88966856223505814,h90075799750821200,363
h50725594261388190,h49303700808569778,364
h63340275855648307,h31966373466858099,365
h97876804458287633,h46459078236110275,366
h50647744396191049,h10781170050854185,367
h24072340905759246,h82843202001033341,368
h97866799638551417,h62745614329377320,369
h95977542165950786,h34763724286422829,370
h22594713682821584,h82965967843185988,371
h98253345844706757,h38301777303872367,372
h86853655319211883,h39735330694465469,373
h57660899141244739,h50175601101628928,374
h12137092521553625,h83259204504407753,375
h50023840690899821,h75351643432518510,376
h12327551118881579,h56713738519171969,377
h57919091301891221,h99593209091000019,378
h16834591286109013,h51209477951525559,379
h27371746819759298,h40046419537454533,380
h57636146210921328,h34177562316199377,381
h98513570142616426,h14265890590442960,382
h72327068268443815,h38664354043542984,383
h92196134532629637,h21136917851081442,384
h29062356477595242,h83096828419698083,385
h71472993709854963,h45287131547724331,386
h70110176936386852,h65390646090770867,387
h98926847183146331,h62766672356680504,388
h22435491007669959,h38312110256622962,389
h14454801490954435,h98430575100142078,390
h88181033240606213,h34264083993749010,391
h67061421509458375,h64295601922369767,392
h73342567474973141,h89855093975583279,393
h35453115324691328,h28039846377144447,394
h24409815256484765,h39222645631990466,395
h78926561951880620,h82564055608013716,396
h95658734244524046,h78331752236263606,397
h38714884119639428,h17199720796095937,398
h30455722679391368,h30199703817181561,399
h49388649972376881,h41688979593105833,400
h84736781393965120,h29795976370714581,401
h97892904399745269,h52632242689642619,402
h18580010829669608,h10099113942750891,403
h48736557355282473,h51037776206055767,404
h82941215985966377,h67797057723298453,405
h99366607626708243,h75359372498411520,406
h61503449270943585,h70228789645514850,407
h44507405314388946,h59263361351594115,408
h56795974944612732,h13919266245503845,409
h62385120140454220,h74238679306202226,410
h48903079405537552,h78678602425250572,411
h91077480732083146,h44258118213175933,412
h27777922758175244,h92529101782727669,413
h12747208133176174,h92817052448178181,414
h30987376497031615,h99153057509211965,415
h60267839583362416,h82332784577906384,416
h39951808747000200,h10571940469589081,417
h13992994081922159,h48712878270320462,418
h98283656620935308,h56244271680741949,419
h38173986504570705,h35573382705276274,420
h63472422213425940,h36188924538174993,421
h22344803261652139,h77317560607233675,422
h83579620822547544,h65853350008054634,423
h47586669001557790,h71758445579845393,424
h13567965075276490,h96191017530487646,425
h54849506332960792,h11142165950823684,426
h34777918946676708,h73809176768365301,427
h88049931365806268,h17809154783874708,428
h30517067832291551,h52179480523901667,429
h89977234693964439,h46556533597530558,430
h31928668898520130,h50315344836700403,431
h37723845175967082,h63402122977646382,432
h19232212872776054,h60557164610961384,433
h77372024373483579,h32800991475972608,434
h64680585462711844,h50874140320373292,435
h92816900409615710,h19563282634226194,436
h19738236110059562,h95007386763425172,437
h73725110130431829,h70404824691182464,438
h80209021067820423,h92669787529916709,439
h71518804873049107,h22284190233874402,440
h61189045790112136,h81266013601118200,441
h45620445073433004,h20164811144080716,442
h92492652957932591,h77901611583778939,443
h45925622586803024,h15983393535787582,444
h90495801976388536,h73285739996994297,445
h85737267128987441,h49991513617803366,446
h55180941618567932,h29262604973181079,447
h22985152493717509,h13774601622222505,448
h16050845954388390,h31047535756264284,449
h68689121342918832,h52693230796372154,450
h74550566590619132,h18543432023501775,451
h41153300400923347,h32882988798891360,452
h83874373834217173,h26772927683942522,453
h37252355780281938,h57920051337257424,454
h10694560543641270,h76214259546200990,455
h38916451940542663,h11726333564177631,456
h57799316679603235,h13183240798713027,457
h16797955702982051,h47236555045711264,458
h12753203617996201,h13812368968543125,459
h25759662362776561,h57714606747893475,460
h77438788313226806,h56840872832241784,461
h18420086827634670,h59827442349463084,462
h90743675137470499,h96854156821610435,463
h30229878849359281,h17880947646227904,464
h20421768043473793,h47104417109936313,465
h20134101922301522,h88032541714297336,466
h22270141801797925,h50820804618977358,467
h17940027034739238,h68927932958014740,468
h38376093480182950,h21911796465295277,469
h45968205549459657,h94006717735893047,470
h48315427901872188,h87538244792464782,471
h63041630744554507,h85558779237251669,472
h94941279256729059,h80118018206425793,473
h11873223092909053,h96725103752605046,474
h32604204232534729,h52240573216507637,475
h51462625025637458,h14736915415102747,476
h44162113593780105,h92399412028052408,477
h11170501741321124,h41899538716218930,478
h33422286878229554,h60664046746294232,479
h33817181861754422,h50512659637988818,480
h49391424654362255,h21882886580415963,481
h38112221306970701,h87560393138496982,482
h36395883220918010,h18916038501699805,483
h38116496570179610,h14347928401052968,484
h74722842113870626,h34335667984162549,485
h46352852966099505,h19462374317296918,486
h48386013454941068,h27116388045808827,487
h49762916509576377,h69002440993030295,488
h37455896675744128,h95895131297650772,489
h67240781151013992,h37173840531162540,490
h68762894880088101,h71048396865541124,491
h35965443809209120,h27669031462816857,492
h63646494174642560,h59208321546955535,493
h62983464136132177,h38923909788682270,494
h23090874668003807,h13522818349526482,495
h84700489628383135,h75661044706085347,496
h59729068523664478,h53519130662235436,497
h21936135109211988,h34353525163721485,498
h81651729490370992,h38372381965559205,499
h31454336469207438,h27604567595170384,500
h25545116456959214,h86685912822954187,501
h82256439322774650,h20485351911010447,502
h60287908398566608,h83744157111764863,503
h44773615475792622,h50339291175159257,504
h25968337556743602,h83692119045625634,505
h24921384767368532,h94563095567459005,506
h38546437671777632,h86954321255863792,507
h84555537386652271,h69281796654086850,508
h20263925459347931,h39691866267441844,509
h78660716155825373,h77246247841101895,510
h77482057435724341,h95034084154319977,511
h88404250081008144,h98557777604120401,512
h75950228385957234,h66243024084386298,513
h92922736051194771,h93218072114581180,514
h93072594075609227,h56938691753103302,515
h86015796587794460,h85994058197873986,516
h87407372349455030,h46850830615763892,517
h70164723646486134,h58798277601651529,518
h19045897395395011,h99029181470379384,519
h87931060438987393,h82146776966844768,520
h40000006223250866,h15217723680292182,521
h15189938311131320,h93259712900371874,522
h87113236018478621,h87569733915492759,523
h72952619296546407,h99620465773317745,524
h67424747451240154,h76257205017431687,525
h41038642727153797,h96169799574184219,526
h86952746021081197,h70674840276208884,527
h14571441505172207,h14218682138640125,528
h32613107737575830,h36320670672521314,529
h28323099310439666,h41447322846267454,530
h98842261309912465,h48564638936305665,531
h38473648645011313,h56541321121497119,532
h69166740366542170,h90744964129413362,533
h40243259808120453,h78919880564611229,534
h73189275396396118,h76532455078425040,535
h77232818835470713,h22043639789783001,536
h91422918280506159,h34443659175141827,537
h91648646354936071,h21472124205440367,538
h32509501638558365,h94804421010386803,539
h10344582601751647,h12381204051001618,540
h14452094598161546,h86244032482218920,541
h40116325967135713,h28075321363557328,542
h22419116764908833,h98746782043806427,543
h96767433367985508,h67860633724432609,544
h15309387826182005,h13994502764458593,545
h29261500238530426,h14336535004948733,546
h83655854761815887,h86096705059262698,547
h41181058636522272,h86928537412713138,548
h49569219619825479,h80957188900523007,549
h32171987518244931,h59439976799456010,550
h77797772173844258,h39575634932952503,551
h17178931824178854,h73349914850852455,552
h58076250483609510,h88574667577732170,553
h23038131805200984,h28846473587211248,554
h20323474206549497,h10788426710271773,555
h14030361358327314,h91570441699430431,556
h97347550357469694,h38463020385419678,557
h34889669532661863,h47623984389883411,558
h87827538275981652,h65901167062965810,559
h16232190255374471,h40809146255296974,560
h18686137355606564,h83822086018075474,561
h42245213559678451,h80763705777661149,562
h85579971181632569,h39738824691025686,563
h75411026391260092,h61170282219921245,564
h37879933062234213,h53584180566668336,565
h91448997266114387,h83296363890031956,566
h13163742115372697,h40913573072044321,567
h39565994975066438,h55826048466243758,568
h87338918036230659,h25983313814688204,569
h39814001061049033,h89221911902271960,570
h66978721679482678,h88971506014720804,571
h45454384345262945,h70062795166414251,572
h63774808671945790,h78486867970028373,573
h31009454289204058,h13191538082198243,574
h66093315237762956,h79698344600972747,575
h76414061999977425,h83467264973532497,576
h97450693021084437,h77496448771219811,577
h36316618119184652,h87084540837357299,578
h33516427865742266,h77259832794967908,579
h56718283729755782,h11955902213729618,580
h71866625761661221,h22570941156673217,581
h66559660802461393,h70992676182721104,582
h18712719962890133,h17515531154504112,583
h49218654728056238,h97640560411050375,584
h30150712635887783,h94485004389804001,585
h63092721822559800,h11335213340471485,586
h52956462227550721,h69086344988894772,587
h53450415563021936,h72572106436473628,588
h93485184061815359,h23210100880504572,589
h29360337070415622,h14051126316677473,590
h12936957003711892,h57259482997489870,591
h34420766685789250,h85297203924824220,592
h81836973426055282,h49999846053999773,593
h89243519496587432,h52522375101390030,594
h89905362715017523,h72467700668016019,595
h90059240557276183,h64851422341481347,596
h89094411318930022,h95275322233865472,597
h66536816048358784,h24474242177347333,598
h34827664496732519,h48022825242299062,599
h61714660635928464,h30366757345705122,600
h33982312280723649,h14072780449251171,601
